STATE,COUNTY,NAME,pop_total_sf1,year_sf1,rank_sf1,pop_total_dhc,year_dhc,rank_dhc
17,165,"Saline County, Illinois",24913,2010,52.0,23768,2020,52.0
17,151,"Pope County, Illinois",4470,2010,101.0,3763,2020,101.0
17,153,"Pulaski County, Illinois",6161,2010,95.0,5193,2020,97.0
17,155,"Putnam County, Illinois",6006,2010,96.0,5637,2020,94.0
17,157,"Randolph County, Illinois",33476,2010,46.0,30163,2020,47.0
17,159,"Richland County, Illinois",16233,2010,72.0,15813,2020,67.0
17,161,"Rock Island County, Illinois",147546,2010,14.0,144672,2020,14.0
17,163,"St. Clair County, Illinois",270056,2010,8.0,257400,2020,9.0
17,167,"Sangamon County, Illinois",197465,2010,11.0,196343,2020,11.0
17,169,"Schuyler County, Illinois",7544,2010,91.0,6902,2020,90.0
17,177,"Stephenson County, Illinois",47711,2010,33.0,44630,2020,33.0
17,179,"Tazewell County, Illinois",135394,2010,15.0,131343,2020,16.0
17,173,"Shelby County, Illinois",22363,2010,55.0,20990,2020,56.0
17,175,"Stark County, Illinois",5994,2010,97.0,5400,2020,95.0
17,193,"White County, Illinois",14665,2010,78.0,13877,2020,76.0
17,181,"Union County, Illinois",17808,2010,62.0,17244,2020,61.0
17,171,"Scott County, Illinois",5355,2010,99.0,4949,2020,98.0
17,183,"Vermilion County, Illinois",81625,2010,21.0,74188,2020,21.0
17,185,"Wabash County, Illinois",11947,2010,86.0,11361,2020,86.0
17,187,"Warren County, Illinois",17707,2010,64.0,16835,2020,63.0
17,189,"Washington County, Illinois",14716,2010,76.0,13761,2020,77.0
17,191,"Wayne County, Illinois",16760,2010,66.0,16179,2020,66.0
17,195,"Whiteside County, Illinois",58498,2010,25.0,55691,2020,24.0
17,197,"Will County, Illinois",677560,2010,4.0,696355,2020,4.0
17,199,"Williamson County, Illinois",66357,2010,23.0,67153,2020,22.0
17,201,"Winnebago County, Illinois",295266,2010,7.0,285350,2020,7.0
17,203,"Woodford County, Illinois",38664,2010,38.0,38467,2020,34.0
17,039,"De Witt County, Illinois",16561,2010,68.0,15516,2020,70.0
17,041,"Douglas County, Illinois",19980,2010,58.0,19740,2020,58.0
17,057,"Fulton County, Illinois",37069,2010,40.0,33609,2020,44.0
17,043,"DuPage County, Illinois",916924,2010,2.0,932877,2020,2.0
17,045,"Edgar County, Illinois",18576,2010,61.0,16866,2020,62.0
17,053,"Ford County, Illinois",14081,2010,79.0,13534,2020,78.0
17,055,"Franklin County, Illinois",39561,2010,34.0,37804,2020,35.0
17,047,"Edwards County, Illinois",6721,2010,94.0,6245,2020,92.0
17,049,"Effingham County, Illinois",34242,2010,45.0,34668,2020,41.0
17,051,"Fayette County, Illinois",22140,2010,57.0,21488,2020,55.0
17,069,"Hardin County, Illinois",4320,2010,102.0,3649,2020,102.0
17,059,"Gallatin County, Illinois",5589,2010,98.0,4946,2020,99.0
17,061,"Greene County, Illinois",13886,2010,80.0,11985,2020,84.0
17,063,"Grundy County, Illinois",50063,2010,31.0,52533,2020,27.0
17,065,"Hamilton County, Illinois",8457,2010,89.0,7993,2020,89.0
17,067,"Hancock County, Illinois",19104,2010,60.0,17620,2020,60.0
17,091,"Kankakee County, Illinois",113449,2010,18.0,107502,2020,18.0
17,071,"Henderson County, Illinois",7331,2010,92.0,6387,2020,91.0
17,073,"Henry County, Illinois",50486,2010,30.0,49284,2020,30.0
17,075,"Iroquois County, Illinois",29718,2010,51.0,27077,2020,51.0
17,077,"Jackson County, Illinois",60218,2010,24.0,52974,2020,26.0
17,079,"Jasper County, Illinois",9698,2010,88.0,9287,2020,88.0
17,081,"Jefferson County, Illinois",38827,2010,37.0,37113,2020,37.0
17,083,"Jersey County, Illinois",22985,2010,53.0,21512,2020,54.0
17,085,"Jo Daviess County, Illinois",22678,2010,54.0,22035,2020,53.0
17,087,"Johnson County, Illinois",12582,2010,85.0,13308,2020,79.0
17,089,"Kane County, Illinois",515269,2010,5.0,516522,2020,5.0
17,099,"LaSalle County, Illinois",113924,2010,17.0,109658,2020,17.0
17,101,"Lawrence County, Illinois",16833,2010,65.0,15280,2020,72.0
17,103,"Lee County, Illinois",36031,2010,41.0,34145,2020,42.0
17,113,"McLean County, Illinois",169572,2010,13.0,170954,2020,13.0
17,093,"Kendall County, Illinois",114736,2010,16.0,131869,2020,15.0
17,095,"Knox County, Illinois",52919,2010,29.0,49967,2020,29.0
17,097,"Lake County, Illinois",703462,2010,3.0,714342,2020,3.0
17,105,"Livingston County, Illinois",38950,2010,36.0,35815,2020,39.0
17,107,"Logan County, Illinois",30305,2010,49.0,27987,2020,49.0
17,109,"McDonough County, Illinois",32612,2010,48.0,27238,2020,50.0
17,111,"McHenry County, Illinois",308760,2010,6.0,310229,2020,6.0
17,125,"Mason County, Illinois",14666,2010,77.0,13086,2020,81.0
17,115,"Macon County, Illinois",110768,2010,19.0,103998,2020,19.0
17,117,"Macoupin County, Illinois",47765,2010,32.0,44967,2020,32.0
17,119,"Madison County, Illinois",269282,2010,9.0,265859,2020,8.0
17,121,"Marion County, Illinois",39437,2010,35.0,37729,2020,36.0
17,123,"Marshall County, Illinois",12640,2010,84.0,11742,2020,85.0
17,141,"Ogle County, Illinois",53497,2010,28.0,51788,2020,28.0
17,127,"Massac County, Illinois",15429,2010,73.0,14169,2020,75.0
17,129,"Menard County, Illinois",12705,2010,83.0,12297,2020,83.0
17,131,"Mercer County, Illinois",16434,2010,69.0,15699,2020,69.0
17,137,"Morgan County, Illinois",35547,2010,42.0,32915,2020,46.0
17,139,"Moultrie County, Illinois",14846,2010,75.0,14526,2020,74.0
17,133,"Monroe County, Illinois",32957,2010,47.0,34962,2020,40.0
17,135,"Montgomery County, Illinois",30104,2010,50.0,28288,2020,48.0
17,149,"Pike County, Illinois",16430,2010,70.0,14739,2020,73.0
17,143,"Peoria County, Illinois",186494,2010,12.0,181830,2020,12.0
17,145,"Perry County, Illinois",22350,2010,56.0,20945,2020,57.0
17,147,"Piatt County, Illinois",16729,2010,67.0,16673,2020,65.0
17,023,"Clark County, Illinois",16335,2010,71.0,15455,2020,71.0
17,001,"Adams County, Illinois",67103,2010,22.0,65737,2020,23.0
17,019,"Champaign County, Illinois",201081,2010,10.0,205865,2020,10.0
17,021,"Christian County, Illinois",34800,2010,44.0,34032,2020,43.0
17,013,"Calhoun County, Illinois",5089,2010,100.0,4437,2020,100.0
17,017,"Cass County, Illinois",13642,2010,82.0,13042,2020,82.0
17,015,"Carroll County, Illinois",15387,2010,74.0,15702,2020,68.0
17,003,"Alexander County, Illinois",8238,2010,90.0,5240,2020,96.0
17,007,"Boone County, Illinois",54165,2010,26.0,53448,2020,25.0
17,005,"Bond County, Illinois",17768,2010,63.0,16725,2020,64.0
17,011,"Bureau County, Illinois",34978,2010,43.0,33244,2020,45.0
17,009,"Brown County, Illinois",6937,2010,93.0,6244,2020,93.0
17,035,"Cumberland County, Illinois",11048,2010,87.0,10450,2020,87.0
17,025,"Clay County, Illinois",13815,2010,81.0,13288,2020,80.0
17,027,"Clinton County, Illinois",37762,2010,39.0,36899,2020,38.0
17,029,"Coles County, Illinois",53873,2010,27.0,46863,2020,31.0
17,031,"Cook County, Illinois",5194675,2010,1.0,5275541,2020,1.0
17,033,"Crawford County, Illinois",19817,2010,59.0,18679,2020,59.0
17,037,"DeKalb County, Illinois",105160,2010,20.0,100420,2020,20.0
