fips5,Location,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,1950_PctChg,1960_PctChg,1970_PctChg,1980_PctChg,1990_PctChg,2000_PctChg,2010_PctChg,2020_PctChg,2030_PctChg,2040_PctChg,2050_PctChg
17001,Adams County,64690.0,68467.0,70861.0,71622.0,66090.0,68277.0,67103.0,65737.0,63004.0,,,,0.0584,0.035,0.0107,-0.0772,0.0331,-0.0172,-0.0204,-0.0416,0.0,0.0
17003,Alexander County,20316.0,16061.0,12015.0,12264.0,10626.0,9590.0,8238.0,5240.0,5115.0,,,,-0.2094,-0.2519,0.0207,-0.1336,-0.0975,-0.141,-0.3639,-0.0239,0.0,0.0
17005,Bond County,14157.0,14060.0,14012.0,16224.0,14991.0,17633.0,17768.0,16725.0,17048.0,,,,-0.0069,-0.0034,0.1579,-0.076,0.1762,0.0077,-0.0587,0.0193,0.0,0.0
17007,Boone County,17070.0,20326.0,25440.0,28630.0,30806.0,41786.0,54165.0,53448.0,57393.0,,,,0.1907,0.2516,0.1254,0.076,0.3564,0.2962,-0.0132,0.0738,0.0,0.0
17009,Brown County,7132.0,6210.0,5586.0,5411.0,5836.0,6950.0,6937.0,6244.0,7378.0,,,,-0.1293,-0.1005,-0.0313,0.0785,0.1909,-0.0019,-0.0999,0.1816,0.0,0.0
17011,Bureau County,37711.0,37594.0,38541.0,39114.0,35688.0,35503.0,34978.0,33244.0,32144.0,,,,-0.0031,0.0252,0.0149,-0.0876,-0.0052,-0.0148,-0.0496,-0.0331,0.0,0.0
17013,Calhoun County,6898.0,5933.0,5675.0,5867.0,5322.0,5084.0,5089.0,4437.0,4304.0,,,,-0.1399,-0.0435,0.0338,-0.0929,-0.0447,0.001,-0.1281,-0.03,0.0,0.0
17015,Carroll County,18976.0,19507.0,19276.0,18779.0,16805.0,16674.0,15387.0,15702.0,14667.0,,,,0.028,-0.0118,-0.0258,-0.1051,-0.0078,-0.0772,0.0205,-0.0659,0.0,0.0
17017,Cass County,15097.0,14539.0,14219.0,15084.0,13437.0,13695.0,13642.0,13042.0,12275.0,,,,-0.037,-0.022,0.0608,-0.1092,0.0192,-0.0039,-0.044,-0.0588,0.0,0.0
17019,Champaign County,106100.0,132436.0,163281.0,168392.0,173025.0,179669.0,201081.0,205865.0,227417.0,,,,0.2482,0.2329,0.0313,0.0275,0.0384,0.1192,0.0238,0.1047,0.0,0.0
17021,Christian County,38816.0,37207.0,35948.0,36446.0,34418.0,35372.0,34800.0,34032.0,31642.0,,,,-0.0415,-0.0338,0.0139,-0.0556,0.0277,-0.0162,-0.0221,-0.0702,0.0,0.0
17023,Clark County,17362.0,16546.0,16216.0,16913.0,15921.0,17008.0,16335.0,15455.0,14331.0,,,,-0.047,-0.0199,0.043,-0.0587,0.0683,-0.0396,-0.0539,-0.0727,0.0,0.0
17025,Clay County,17445.0,15815.0,14735.0,15283.0,14460.0,14560.0,13815.0,13288.0,13011.0,,,,-0.0934,-0.0683,0.0372,-0.0539,0.0069,-0.0512,-0.0381,-0.0208,0.0,0.0
17027,Clinton County,22594.0,24029.0,28315.0,32617.0,33944.0,35535.0,37762.0,36899.0,37466.0,,,,0.0635,0.1784,0.1519,0.0407,0.0469,0.0627,-0.0229,0.0154,0.0,0.0
17029,Coles County,40328.0,42860.0,47815.0,52260.0,51644.0,53196.0,53873.0,46863.0,52820.0,,,,0.0628,0.1156,0.093,-0.0118,0.0301,0.0127,-0.1301,0.1271,0.0,0.0
