,GEO_0,GEO_1,GEO_2,GEO_3,median_HH_income,per_capita_income,gini_index,pop_FPL_total,pop_FPL_LT50,pop_FPL_50_99,below_poverty_pct
0,Illinois,,,,83390.0,46406.0,0.4814,12405700,731789,733148,0.1181
0,Illinois,Adams County,,,66220.0,37595.0,0.4535,62964,3631,4453,0.1284
1,Illinois,Alexander County,,,47043.0,29379.0,0.4803,4773,274,634,0.1902
2,Illinois,Bond County,,,65959.0,37166.0,0.437,14625,690,901,0.1088
3,Illinois,Boone County,,,84571.0,39818.0,0.4217,52591,2296,2928,0.0993
4,Illinois,Brown County,,,67917.0,26202.0,0.4106,4380,100,305,0.0925
5,Illinois,Bureau County,,,69257.0,37423.0,0.4216,32318,1620,1859,0.1076
6,Illinois,Calhoun County,,,93203.0,35142.0,0.3793,4234,103,164,0.0631
7,Illinois,Carroll County,,,60758.0,32110.0,0.4115,13916,641,1335,0.142
8,Illinois,Cass County,,,68125.0,32954.0,0.4164,12681,868,538,0.1109
9,Illinois,Champaign County,,,63683.0,38439.0,0.5147,193591,24693,12228,0.1907
10,Illinois,Christian County,,,62611.0,34875.0,0.4435,31768,1738,1499,0.1019
11,Illinois,Clark County,,,72927.0,37528.0,0.4161,14932,476,890,0.0915
12,Illinois,Clay County,,,60417.0,31980.0,0.4569,12820,1157,1088,0.1751
13,Illinois,Clinton County,,,86588.0,42658.0,0.4283,34882,1167,1403,0.0737
14,Illinois,Coles County,,,56478.0,33885.0,0.4519,43081,3459,4597,0.187
15,Illinois,Cook County,,,83498.0,49329.0,0.5043,5096183,341480,346028,0.1349
16,Illinois,Crawford County,,,71674.0,36486.0,0.4414,17140,915,1158,0.1209
17,Illinois,Cumberland County,,,73327.0,36140.0,0.4014,10153,422,501,0.0909
18,Illinois,DeKalb County,,,70724.0,36298.0,0.45,95844,8254,5932,0.148
19,Illinois,De Witt County,,,71678.0,38005.0,0.4032,15102,693,812,0.0997
20,Illinois,Douglas County,,,77320.0,36634.0,0.4028,19385,567,1075,0.0847
21,Illinois,DuPage County,,,112096.0,58189.0,0.4587,916833,32631,27558,0.0656
22,Illinois,Edgar County,,,59941.0,35038.0,0.4221,16136,802,1134,0.12
23,Illinois,Edwards County,,,60519.0,34238.0,0.4348,6040,353,643,0.1649
24,Illinois,Effingham County,,,80404.0,40117.0,0.423,34062,1350,2094,0.1011
25,Illinois,Fayette County,,,60944.0,32197.0,0.4489,20146,1370,1747,0.1547
26,Illinois,Ford County,,,62439.0,34075.0,0.4342,12835,805,789,0.1242
27,Illinois,Franklin County,,,56740.0,31012.0,0.4563,36627,3077,3337,0.1751
28,Illinois,Fulton County,,,60599.0,32918.0,0.4316,30881,2281,1782,0.1316
29,Illinois,Gallatin County,,,59219.0,34560.0,0.4594,4785,291,359,0.1358
30,Illinois,Greene County,,,62192.0,33635.0,0.4457,11415,705,923,0.1426
31,Illinois,Grundy County,,,92235.0,43656.0,0.4036,52681,1210,1944,0.0599
32,Illinois,Hamilton County,,,65746.0,39790.0,0.4866,7847,363,585,0.1208
33,Illinois,Hancock County,,,65865.0,37092.0,0.4426,16993,1008,1077,0.1227
34,Illinois,Hardin County,,,54271.0,29650.0,0.4061,3513,162,223,0.1096
