,GEO_0,GEO_1,GEO_2,pop,LT18_0_disab,18to64_0_disab,GT64_0_disab,disable_pct
0,Illinois,,,12522058,2656977,6920428,1431856,0.12081057283075991
0,Illinois,Adams County,,63688,13568,30856,7714,0.18135284511995975
1,Illinois,Alexander County,,4780,1001,2052,587,0.2384937238493724
2,Illinois,Bond County,,15203,2777,7748,1704,0.19561928566730247
3,Illinois,Boone County,,52935,12109,27851,5874,0.13414565032587134
4,Illinois,Brown County,,4394,958,2023,514,0.20459717796995902
5,Illinois,Bureau County,,32444,6423,16166,5065,0.14763900875354452
6,Illinois,Calhoun County,,4254,835,2076,674,0.15726375176304652
7,Illinois,Carroll County,,13983,2639,6704,2376,0.16191089179718232
8,Illinois,Cass County,,12685,2979,6209,1397,0.16554986204178168
9,Illinois,Champaign County,,207090,37957,127416,20669,0.10163696943357958
10,Illinois,Christian County,,31840,6229,16649,4099,0.15273241206030153
11,Illinois,Clark County,,14976,3242,7653,2049,0.13568376068376065
12,Illinois,Clay County,,12867,2974,6082,1491,0.18030620968368694
13,Illinois,Clinton County,,34961,7580,18089,4408,0.13969852120934756
14,Illinois,Coles County,,45981,8058,24939,4911,0.17557251908396942
15,Illinois,Cook County,,5136506,1051201,2952493,545272,0.11438514819217582
16,Illinois,Crawford County,,17268,3552,8752,2492,0.14315496872828348
17,Illinois,Cumberland County,,10199,2200,5251,1296,0.1423668987155603
18,Illinois,DeKalb County,,100030,20733,58529,9680,0.11084674597620714
19,Illinois,De Witt County,,15138,3166,7808,2095,0.1366759149161052
20,Illinois,Douglas County,,19498,4676,10002,2375,0.12539747666427326
21,Illinois,DuPage County,,923269,199478,524356,116503,0.08982430905835681
22,Illinois,Edgar County,,16189,3046,7644,2580,0.18030761628266112
23,Illinois,Edwards County,,6062,1220,2862,754,0.2022434839986803
24,Illinois,Effingham County,,34161,7745,17600,3925,0.1431749656040514
25,Illinois,Fayette County,,20392,4260,10072,2369,0.18100235386426045
26,Illinois,Ford County,,12998,3009,6438,1612,0.14917679643022008
27,Illinois,Franklin County,,36853,7759,16995,4240,0.2132526524299243
28,Illinois,Fulton County,,30886,6104,15230,4633,0.15926309654859805
29,Illinois,Gallatin County,,4794,800,2131,640,0.2551105548602419
30,Illinois,Greene County,,11474,2440,5668,1444,0.167509151124281
31,Illinois,Grundy County,,52930,12414,29603,5783,0.09692046098620821
32,Illinois,Hamilton County,,7847,1714,3603,1021,0.19230279087549385
33,Illinois,Hancock County,,17045,3320,7349,2528,0.22575535347609266
34,Illinois,Hardin County,,3513,483,1459,608,0.27412467976088817
35,Illinois,Henderson County,,6138,996,2669,1020,0.2367220593027045
36,Illinois,Henry County,,47968,10109,24166,7234,0.13465226817878584
37,Illinois,Iroquois County,,26054,5308,12614,3903,0.16231672679818843
38,Illinois,Jackson County,,52468,9344,28937,5180,0.1716665396050926
39,Illinois,Jasper County,,9106,1938,4582,1252,0.14649681528662417
40,Illinois,Jefferson County,,35162,7468,16826,4424,0.18326602582333196
41,Illinois,Jersey County,,20917,4021,11423,2709,0.13214132045704452
42,Illinois,Jo Daviess County,,21648,3744,10280,4628,0.13839615668883964
