,GEO_0,GEO_1,GEO_2,hu_tot,hu_occ,hu_vacant,1u_detached,1u_attached,2u,3_4u,5_9u,10_19u,20_plusu,mobile_home,boat_rv_van,owner_occ,renter_occ,owner_median_value,renter_median_rent,hu_0_veh,hu_1_veh,hu_2_veh,hu_3plus_veh,0_veh_pct,1_veh_pct,2_veh_pct,3plus_veh_pct
0,Illinois,,,5457452,5036449,421003,3178371,331177,282393,350559,342901,216797,629864,123263,2127,3378910,1657539,263300.0,1274.0,552555,1797531,1766822,919541,0.1097,0.3569,0.3508,0.1826
0,Illinois,Adams County,,30302,27915,2387,23117,1089,1089,1046,991,625,963,1368,14,20137,7778,162600.0,828.0,2083,9383,10004,6445,0.0746,0.3361,0.3584,0.2309
1,Illinois,Alexander County,,2938,1904,1034,2252,10,29,24,56,24,125,418,0,1477,427,59800.0,656.0,192,732,568,412,0.1008,0.3845,0.2983,0.2164
2,Illinois,Bond County,,6899,6147,752,5176,61,45,317,292,180,67,740,21,4709,1438,145700.0,785.0,416,1949,2362,1420,0.0677,0.3171,0.3843,0.231
3,Illinois,Boone County,,20291,19460,831,15871,1100,539,526,134,239,559,1227,96,15915,3545,216900.0,1041.0,823,4933,7923,5781,0.0423,0.2535,0.4071,0.2971
4,Illinois,Brown County,,2321,2041,280,1883,6,20,121,15,119,42,115,0,1465,576,150300.0,698.0,174,698,718,451,0.0853,0.342,0.3518,0.221
5,Illinois,Bureau County,,15630,14028,1602,13350,149,405,379,344,307,341,354,1,10669,3359,126900.0,832.0,935,4138,5748,3207,0.0667,0.295,0.4098,0.2286
6,Illinois,Calhoun County,,2300,1239,1061,1912,28,26,58,22,10,0,244,0,1099,140,190900.0,583.0,34,195,469,541,0.0274,0.1574,0.3785,0.4366
7,Illinois,Carroll County,,8204,6578,1626,7078,54,120,205,196,52,225,274,0,5077,1501,114500.0,818.0,220,2327,2772,1259,0.0334,0.3538,0.4214,0.1914
8,Illinois,Cass County,,5676,5128,548,4554,3,41,161,89,50,154,624,0,3894,1234,97100.0,723.0,233,1765,1842,1288,0.0454,0.3442,0.3592,0.2512
9,Illinois,Champaign County,,95115,85472,9643,49750,4822,2411,3713,7147,9260,15037,2961,14,46173,39299,211500.0,1051.0,10950,34041,28741,11740,0.1281,0.3983,0.3363,0.1374
10,Illinois,Christian County,,15184,13586,1598,12805,191,98,314,563,130,436,647,0,10217,3369,115500.0,785.0,822,4411,5150,3203,0.0605,0.3247,0.3791,0.2358
11,Illinois,Clark County,,7307,6555,752,5960,59,61,297,251,12,130,483,54,5263,1292,132400.0,861.0,338,1811,2453,1953,0.0516,0.2763,0.3742,0.2979
12,Illinois,Clay County,,6165,5311,854,4623,19,84,122,120,1,85,1077,34,4211,1100,97400.0,735.0,259,1828,1643,1581,0.0488,0.3442,0.3094,0.2977
13,Illinois,Clinton County,,15765,14570,1195,12751,268,457,380,180,26,334,1369,0,11698,2872,192400.0,912.0,461,3872,5621,4616,0.0316,0.2658,0.3858,0.3168
14,Illinois,Coles County,,22681,20824,1857,15319,680,990,1112,1239,834,1608,882,17,12574,8250,127400.0,780.0,1802,8102,7505,3415,0.0865,0.3891,0.3604,0.164
15,Illinois,Cook County,,2276493,2100230,176263,900824,124081,203431,237569,221658,113433,456751,17847,899,1212570,887660,324500.0,1435.0,378260,871670,597002,253298,0.1801,0.415,0.2843,0.1206
16,Illinois,Crawford County,,8457,7492,965,7127,33,106,209,164,24,61,721,12,6139,1353,121100.0,811.0,454,2072,2945,2021,0.0606,0.2766,0.3931,0.2698
