,GEO_0,GEO_1,GEO_2,workers_tot,drive_alone_pct,carpool_pct,pub_trans_pct,walk_pct,bike_pct,taxi_moto_pct,wfh_pct,mean_travel_time
0,Illinois,,,6152715,65.9,7.8,5.8,2.8,0.5,1.4,15.9,27.8
0,Illinois,Adams County,,32047,79.5,8.3,0.4,2.6,0.4,1.2,7.6,16.9
1,Illinois,Alexander County,,1711,87.4,4.6,0.0,0.7,0.0,2.6,4.7,30.6
2,Illinois,Bond County,,6905,81.4,4.2,0.1,5.0,0.7,0.5,8.2,23.6
3,Illinois,Boone County,,25223,78.8,9.7,0.3,1.0,0.0,0.7,9.6,26.6
4,Illinois,Brown County,,2127,80.8,7.7,0.1,3.5,0.0,0.6,7.3,15.9
5,Illinois,Bureau County,,15826,80.0,10.6,0.1,2.5,0.7,0.6,5.4,21.1
6,Illinois,Calhoun County,,1864,74.8,4.9,0.0,0.1,0.0,0.2,20.1,47.7
7,Illinois,Carroll County,,6388,79.2,9.5,0.9,2.7,0.3,0.6,6.8,24.6
8,Illinois,Cass County,,5514,80.0,11.9,0.0,0.9,0.7,0.8,5.7,21.0
9,Illinois,Champaign County,,98899,64.2,7.7,3.4,6.9,1.3,0.9,15.5,16.9
10,Illinois,Christian County,,14930,82.7,8.1,0.4,1.1,0.0,0.5,7.1,22.0
11,Illinois,Clark County,,7032,84.1,8.3,0.0,1.5,0.0,0.9,5.2,25.2
12,Illinois,Clay County,,5549,85.6,9.1,0.3,0.6,0.0,0.0,4.4,25.0
13,Illinois,Clinton County,,17918,76.3,7.6,0.3,2.6,0.1,0.6,12.6,25.9
14,Illinois,Coles County,,21569,76.2,9.2,0.1,4.8,1.5,1.0,7.2,18.2
15,Illinois,Cook County,,2539962,54.8,7.7,11.8,4.0,0.9,1.8,18.9,31.5
16,Illinois,Crawford County,,8112,85.0,6.6,0.2,2.5,0.5,0.5,4.7,18.1
17,Illinois,Cumberland County,,5281,81.2,6.1,0.2,3.9,0.0,0.1,8.5,23.5
18,Illinois,DeKalb County,,50752,74.8,9.6,0.8,4.2,0.5,0.9,9.3,26.7
19,Illinois,De Witt County,,7330,80.6,5.8,0.3,1.8,0.0,0.9,10.6,23.3
20,Illinois,Douglas County,,9600,74.5,9.0,0.0,4.1,4.0,2.5,6.0,20.4
21,Illinois,DuPage County,,476233,64.9,6.8,4.0,1.5,0.2,1.1,21.5,27.7
22,Illinois,Edgar County,,7462,84.8,6.1,1.3,2.9,0.1,0.5,4.4,17.9
23,Illinois,Edwards County,,2789,78.2,10.7,0.3,4.4,0.0,1.7,4.8,23.4
24,Illinois,Effingham County,,17306,79.5,5.7,0.2,1.8,0.3,0.9,11.8,18.1
25,Illinois,Fayette County,,9051,79.3,10.4,0.3,1.6,0.0,1.3,7.1,25.5
26,Illinois,Ford County,,6239,79.5,8.4,0.2,2.0,0.0,0.6,9.2,24.6
27,Illinois,Franklin County,,15307,79.4,10.3,0.3,1.4,0.3,1.1,7.2,26.9
28,Illinois,Fulton County,,13519,82.8,7.8,0.1,3.0,0.1,1.2,5.1,25.8
29,Illinois,Gallatin County,,1951,88.5,8.3,0.0,0.1,0.0,1.0,2.2,26.1
30,Illinois,Greene County,,5110,76.0,12.0,0.1,0.8,0.0,1.1,10.0,29.0
31,Illinois,Grundy County,,26499,82.1,5.2,0.4,1.4,0.1,0.8,10.0,26.8
32,Illinois,Hamilton County,,3412,89.7,6.1,0.6,0.9,0.0,0.3,2.4,26.8
33,Illinois,Hancock County,,7775,84.7,4.8,0.1,2.1,0.2,0.6,7.5,24.1
34,Illinois,Hardin County,,1244,81.5,10.2,1.3,3.6,0.0,1.2,2.2,28.2
35,Illinois,Henderson County,,2540,88.8,5.8,0.3,0.9,0.0,0.0,4.2,26.1
36,Illinois,Henry County,,22906,80.0,7.5,0.1,2.5,0.1,1.2,8.7,22.2
37,Illinois,Iroquois County,,12255,81.1,7.2,0.2,2.0,0.2,1.7,7.6,25.0
38,Illinois,Jackson County,,21777,72.5,8.6,0.7,5.1,1.0,1.3,10.8,20.3
39,Illinois,Jasper County,,4690,81.2,8.3,0.7,0.5,0.0,1.2,8.2,28.1
40,Illinois,Jefferson County,,16045,82.3,9.9,0.3,0.7,0.0,1.4,5.4,19.6
41,Illinois,Jersey County,,10017,74.6,9.3,0.3,3.1,0.3,0.8,11.7,27.1
42,Illinois,Jo Daviess County,,10368,76.5,6.0,0.6,4.0,0.0,0.4,12.5,22.1
43,Illinois,Johnson County,,4477,84.8,8.1,0.0,0.9,0.0,1.3,4.8,28.4
44,Illinois,Kane County,,265318,70.7,8.9,1.6,1.2,0.2,1.5,15.9,27.8
45,Illinois,Kankakee County,,48970,78.3,8.3,1.0,3.0,0.1,1.2,8.1,24.9
46,Illinois,Kendall County,,71273,76.5,6.4,1.0,0.6,0.0,0.7,14.7,31.6
47,Illinois,Knox County,,20751,79.1,8.9,0.5,4.1,0.3,1.4,5.7,20.4
48,Illinois,Lake County,,360949,65.7,8.5,2.7,2.1,0.1,1.4,19.5,28.5
49,Illinois,LaSalle County,,50247,83.0,8.2,0.2,1.8,0.3,1.4,5.1,26.0
50,Illinois,Lawrence County,,5870,76.1,10.4,0.3,4.1,0.0,0.6,8.4,20.8
51,Illinois,Lee County,,14699,82.0,9.5,0.6,1.2,0.2,1.0,5.5,24.6
52,Illinois,Livingston County,,16353,80.4,7.2,0.1,3.1,0.6,1.6,7.0,21.6
