STATE,COUNTY,NAME,pop_total_sf1,year_sf1,rank_sf1,pop_total_dhc,year_dhc,rank_dhc
18,061,"Harrison County, Indiana",39364,2010,37.0,39654,2020,38.0
18,073,"Jasper County, Indiana",33478,2010,48.0,32918,2020,52.0
18,059,"Hancock County, Indiana",70002,2010,23.0,79840,2020,22.0
18,063,"Hendricks County, Indiana",145448,2010,10.0,174788,2020,9.0
18,065,"Henry County, Indiana",49462,2010,29.0,48914,2020,29.0
18,067,"Howard County, Indiana",82752,2010,18.0,83658,2020,18.0
18,069,"Huntington County, Indiana",37124,2010,43.0,36662,2020,42.0
18,071,"Jackson County, Indiana",42376,2010,34.0,46428,2020,31.0
18,089,"Lake County, Indiana",496005,2010,2.0,498700,2020,2.0
18,075,"Jay County, Indiana",21253,2010,70.0,20478,2020,71.0
18,077,"Jefferson County, Indiana",32428,2010,53.0,33147,2020,50.0
18,079,"Jennings County, Indiana",28525,2010,56.0,27613,2020,58.0
18,087,"LaGrange County, Indiana",37128,2010,42.0,40446,2020,37.0
18,085,"Kosciusko County, Indiana",77358,2010,19.0,80240,2020,21.0
18,081,"Johnson County, Indiana",139654,2010,11.0,161765,2020,11.0
18,083,"Knox County, Indiana",38440,2010,39.0,36282,2020,43.0
18,015,"Carroll County, Indiana",20155,2010,73.0,20306,2020,72.0
18,005,"Bartholomew County, Indiana",76794,2010,20.0,82208,2020,19.0
18,001,"Adams County, Indiana",34387,2010,45.0,35809,2020,45.0
18,003,"Allen County, Indiana",355329,2010,3.0,385410,2020,3.0
18,007,"Benton County, Indiana",8854,2010,89.0,8719,2020,89.0
18,009,"Blackford County, Indiana",12766,2010,85.0,12112,2020,85.0
18,011,"Boone County, Indiana",56640,2010,27.0,70812,2020,24.0
18,013,"Brown County, Indiana",15242,2010,81.0,15475,2020,79.0
18,039,"Elkhart County, Indiana",197559,2010,6.0,207047,2020,6.0
18,017,"Cass County, Indiana",38966,2010,38.0,37870,2020,40.0
18,019,"Clark County, Indiana",110232,2010,16.0,121093,2020,14.0
18,021,"Clay County, Indiana",26890,2010,59.0,26466,2020,60.0
18,023,"Clinton County, Indiana",33224,2010,50.0,33190,2020,49.0
18,025,"Crawford County, Indiana",10713,2010,86.0,10526,2020,86.0
18,027,"Daviess County, Indiana",31648,2010,54.0,33381,2020,48.0
18,029,"Dearborn County, Indiana",50047,2010,28.0,50679,2020,28.0
18,031,"Decatur County, Indiana",25740,2010,62.0,26472,2020,59.0
