fips5,Location,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,1950_PctChg,1960_PctChg,1970_PctChg,1980_PctChg,1990_PctChg,2000_PctChg,2010_PctChg,2020_PctChg,2030_PctChg,2040_PctChg,2050_PctChg
18001,Adams County,22393.0,24643.0,26871.0,29619.0,31095.0,33625.0,34387.0,35809.0,36982.0,37634.0,38137.0,,0.1005,0.0904,0.1023,0.0498,0.0814,0.0227,0.0414,0.0328,0.0176,0.0134
18003,Allen County,183722.0,232196.0,280455.0,294335.0,300836.0,331849.0,355329.0,385410.0,411056.0,428315.0,440805.0,,0.2638,0.2078,0.0495,0.0221,0.1031,0.0708,0.0847,0.0665,0.042,0.0292
18005,Bartholomew County,36108.0,48198.0,57022.0,65088.0,63657.0,71435.0,76794.0,82208.0,86984.0,89800.0,92224.0,,0.3348,0.1831,0.1415,-0.022,0.1222,0.075,0.0705,0.0581,0.0324,0.027
18007,Benton County,11462.0,11912.0,11262.0,10218.0,9441.0,9421.0,8854.0,8719.0,8740.0,8585.0,8287.0,,0.0393,-0.0546,-0.0927,-0.076,-0.0021,-0.0602,-0.0152,0.0024,-0.0177,-0.0347
18009,Blackford County,14026.0,14792.0,15888.0,15570.0,14067.0,14048.0,12766.0,12112.0,11403.0,10560.0,9618.0,,0.0546,0.0741,-0.02,-0.0965,-0.0014,-0.0913,-0.0512,-0.0585,-0.0739,-0.0892
18011,Boone County,23993.0,27543.0,30870.0,36446.0,38147.0,46107.0,56640.0,70812.0,84942.0,96389.0,107624.0,,0.148,0.1208,0.1806,0.0467,0.2087,0.2284,0.2502,0.1995,0.1348,0.1166
18013,Brown County,6209.0,7024.0,9057.0,12377.0,14080.0,14957.0,15242.0,15475.0,15613.0,14837.0,13555.0,,0.1313,0.2894,0.3666,0.1376,0.0623,0.0191,0.0153,0.0089,-0.0497,-0.0864
18015,Carroll County,16010.0,16934.0,17734.0,19722.0,18809.0,20165.0,20155.0,20306.0,20505.0,20000.0,19136.0,,0.0577,0.0472,0.1121,-0.0463,0.0721,-0.0005,0.0075,0.0098,-0.0246,-0.0432
18017,Cass County,38793.0,40931.0,40456.0,40936.0,38413.0,40930.0,38966.0,37870.0,37314.0,35570.0,33304.0,,0.0551,-0.0116,0.0119,-0.0616,0.0655,-0.048,-0.0281,-0.0147,-0.0467,-0.0637
18019,Clark County,48330.0,62795.0,75876.0,88838.0,87777.0,96472.0,110232.0,121093.0,132141.0,139327.0,144783.0,,0.2993,0.2083,0.1708,-0.0119,0.0991,0.1426,0.0985,0.0912,0.0544,0.0392
18021,Clay County,23918.0,24207.0,23933.0,24862.0,24705.0,26556.0,26890.0,26466.0,26257.0,25071.0,23538.0,,0.0121,-0.0113,0.0388,-0.0063,0.0749,0.0126,-0.0158,-0.0079,-0.0452,-0.0611
18023,Clinton County,29734.0,30765.0,30547.0,31545.0,30974.0,33866.0,33224.0,33190.0,32206.0,31143.0,29868.0,,0.0347,-0.0071,0.0327,-0.0181,0.0934,-0.019,-0.001,-0.0296,-0.033,-0.0409
18025,Crawford County,9289.0,8379.0,8033.0,9820.0,9914.0,10743.0,10713.0,10526.0,10191.0,9498.0,8613.0,,-0.098,-0.0413,0.2225,0.0096,0.0836,-0.0028,-0.0175,-0.0318,-0.068,-0.0932
18027,Daviess County,26762.0,26636.0,26602.0,27836.0,27533.0,29820.0,31648.0,33381.0,34392.0,35077.0,35647.0,,-0.0047,-0.0013,0.0464,-0.0109,0.0831,0.0613,0.0548,0.0303,0.0199,0.0162
18029,Dearborn County,25141.0,28674.0,29430.0,34291.0,38835.0,46109.0,50047.0,50679.0,51887.0,50948.0,49637.0,,0.1405,0.0264,0.1652,0.1325,0.1873,0.0854,0.0126,0.0238,-0.0181,-0.0257
18031,Decatur County,18218.0,20019.0,22738.0,23841.0,23645.0,24555.0,25740.0,26472.0,26398.0,25888.0,25003.0,,0.0989,0.1358,0.0485,-0.0082,0.0385,0.0483,0.0284,-0.0028,-0.0193,-0.0342
18033,DeKalb County,26023.0,28271.0,30837.0,33606.0,35324.0,40285.0,42223.0,43265.0,45558.0,46233.0,46245.0,,0.0864,0.0908,0.0898,0.0511,0.1404,0.0481,0.0247,0.053,0.0148,0.0003
18035,Delaware County,90252.0,110938.0,129219.0,128587.0,119659.0,118769.0,117671.0,111903.0,111575.0,108831.0,106148.0,,0.2292,0.1648,-0.0049,-0.0694,-0.0074,-0.0092,-0.049,-0.0029,-0.0246,-0.0247
18037,Dubois County,23785.0,27463.0,30934.0,34238.0,36616.0,39674.0,41889.0,43637.0,43889.0,43116.0,42056.0,,0.1546,0.1264,0.1068,0.0695,0.0835,0.0558,0.0417,0.0058,-0.0176,-0.0246
18039,Elkhart County,84512.0,106790.0,126529.0,137330.0,156198.0,182791.0,197559.0,207047.0,207986.0,210119.0,210657.0,,0.2636,0.1848,0.0854,0.1374,0.1703,0.0808,0.048,0.0045,0.0103,0.0026
18041,Fayette County,23391.0,24454.0,26216.0,28272.0,26015.0,25588.0,24277.0,23398.0,23010.0,22127.0,21159.0,,0.0454,0.0721,0.0784,-0.0798,-0.0164,-0.0512,-0.0362,-0.0166,-0.0384,-0.0437
18043,Floyd County,43955.0,51397.0,55622.0,61169.0,64404.0,70823.0,74578.0,80484.0,82256.0,83596.0,83600.0,,0.1693,0.0822,0.0997,0.0529,0.0997,0.053,0.0792,0.022,0.0163,0.0
18045,Fountain County,17836.0,18706.0,18257.0,19033.0,17808.0,17954.0,17240.0,16479.0,16849.0,16512.0,15886.0,,0.0488,-0.024,0.0425,-0.0644,0.0082,-0.0398,-0.0441,0.0225,-0.02,-0.0379
18047,Franklin County,16034.0,17015.0,16943.0,19612.0,19580.0,22151.0,23087.0,22785.0,23224.0,22764.0,21853.0,,0.0612,-0.0042,0.1575,-0.0016,0.1313,0.0423,-0.0131,0.0193,-0.0198,-0.04
18049,Fulton County,16565.0,16957.0,16984.0,19335.0,18840.0,20511.0,20836.0,20480.0,19948.0,19077.0,17942.0,,0.0237,0.0016,0.1384,-0.0256,0.0887,0.0158,-0.0171,-0.026,-0.0437,-0.0595
18051,Gibson County,30720.0,29949.0,30444.0,33156.0,31913.0,32500.0,33503.0,33011.0,32505.0,31504.0,30113.0,,-0.0251,0.0165,0.0891,-0.0375,0.0184,0.0309,-0.0147,-0.0153,-0.0308,-0.0442
18053,Grant County,62156.0,75741.0,83955.0,80934.0,74169.0,73403.0,70061.0,66674.0,64711.0,61570.0,59052.0,,0.2186,0.1084,-0.036,-0.0836,-0.0103,-0.0455,-0.0483,-0.0294,-0.0485,-0.0409
18055,Greene County,27886.0,26327.0,26894.0,30416.0,30410.0,33157.0,33165.0,30803.0,30899.0,29202.0,27104.0,,-0.0559,0.0215,0.131,-0.0002,0.0903,0.0002,-0.0712,0.0031,-0.0549,-0.0718
18057,Hamilton County,28491.0,40132.0,54532.0,82027.0,108936.0,182740.0,274569.0,347467.0,417426.0,476482.0,529505.0,,0.4086,0.3588,0.5042,0.3281,0.6775,0.5025,0.2655,0.2013,0.1415,0.1113
18059,Hancock County,20332.0,26665.0,35096.0,43939.0,45527.0,55391.0,70002.0,79840.0,96083.0,105982.0,115401.0,,0.3115,0.3162,0.252,0.0361,0.2167,0.2638,0.1405,0.2034,0.103,0.0889
18061,Harrison County,17858.0,19207.0,20423.0,27276.0,29890.0,34325.0,39364.0,39654.0,40405.0,39274.0,37343.0,,0.0755,0.0633,0.3356,0.0958,0.1484,0.1468,0.0074,0.0189,-0.028,-0.0492
18063,Hendricks County,24594.0,40896.0,53974.0,69804.0,75717.0,104093.0,145448.0,174788.0,206661.0,230568.0,250688.0,,0.6628,0.3198,0.2933,0.0847,0.3748,0.3973,0.2017,0.1824,0.1157,0.0873
18065,Henry County,45505.0,48899.0,52603.0,53336.0,48139.0,48508.0,49462.0,48914.0,48431.0,46971.0,44850.0,,0.0746,0.0757,0.0139,-0.0974,0.0077,0.0197,-0.0111,-0.0099,-0.0301,-0.0452
18067,Howard County,54498.0,69509.0,83198.0,86896.0,80827.0,84964.0,82752.0,83658.0,84281.0,83608.0,82149.0,,0.2754,0.1969,0.0444,-0.0698,0.0512,-0.026,0.0109,0.0074,-0.008,-0.0175
18069,Huntington County,31400.0,33814.0,34970.0,35596.0,35427.0,38075.0,37124.0,36662.0,36461.0,35291.0,33581.0,,0.0769,0.0342,0.0179,-0.0047,0.0747,-0.025,-0.0124,-0.0055,-0.0321,-0.0485
