,GEO_0,GEO_1,GEO_2,pop,LT18_0_disab,18to64_0_disab,GT64_0_disab,disable_pct
0,Indiana,,,6754714,1507199,3548929,740680,0.1418
0,Indiana,Adams County,,35755,10896,16819,3630,0.1233
1,Indiana,Allen County,,388693,94601,204170,40968,0.1259
2,Indiana,Bartholomew County,,82656,19101,43281,9097,0.1352
3,Indiana,Benton County,,8670,1969,4209,803,0.1948
4,Indiana,Blackford County,,11812,2434,5413,1572,0.2026
5,Indiana,Boone County,,74099,18081,40784,7622,0.1027
6,Indiana,Brown County,,15468,2519,7894,2650,0.1555
7,Indiana,Carroll County,,20429,4252,10519,3146,0.123
8,Indiana,Cass County,,37021,7998,18629,4637,0.1555
9,Indiana,Clark County,,123029,25724,64954,13145,0.1561
10,Indiana,Clay County,,26018,5626,12786,3031,0.1758
11,Indiana,Clinton County,,32390,8537,16780,3424,0.1127
12,Indiana,Crawford County,,10435,2100,5139,1308,0.1809
13,Indiana,Daviess County,,33171,9541,15873,3008,0.1432
14,Indiana,Dearborn County,,50585,10620,26008,6211,0.1531
15,Indiana,Decatur County,,25980,5957,13719,3054,0.1251
16,Indiana,DeKalb County,,43381,9927,22227,4875,0.1464
17,Indiana,Delaware County,,110590,18375,58727,12383,0.1908
18,Indiana,Dubois County,,43021,10254,22303,5372,0.1184
19,Indiana,Elkhart County,,205322,54187,105194,20334,0.1247
20,Indiana,Fayette County,,23016,4654,10669,2821,0.2117
21,Indiana,Floyd County,,79705,17158,41372,8637,0.1573
22,Indiana,Fountain County,,16499,3351,8132,1918,0.1878
23,Indiana,Franklin County,,22969,4935,11724,3256,0.133
24,Indiana,Fulton County,,20167,4592,9811,2808,0.1466
25,Indiana,Gibson County,,32540,7335,16370,3704,0.1577
26,Indiana,Grant County,,65579,12886,31635,7674,0.2041
27,Indiana,Greene County,,30688,6214,14868,3553,0.1972
28,Indiana,Hamilton County,,362323,90021,205598,37826,0.0797
29,Indiana,Hancock County,,83310,18050,44545,9401,0.1358
30,Indiana,Harrison County,,39416,8296,20246,5065,0.1474
31,Indiana,Hendricks County,,178220,42908,98334,18740,0.1023
32,Indiana,Henry County,,45899,9195,21648,5753,0.2027
33,Indiana,Howard County,,82597,17948,39289,10233,0.1831
34,Indiana,Huntington County,,36310,7549,18339,4437,0.1648
35,Indiana,Jackson County,,46020,11499,23221,4696,0.1435
36,Indiana,Jasper County,,32953,6746,16534,4196,0.1662
37,Indiana,Jay County,,20024,4773,9365,2206,0.1838
38,Indiana,Jefferson County,,31933,6090,15705,3849,0.1969
39,Indiana,Jennings County,,27313,5983,13157,3063,0.1871
40,Indiana,Johnson County,,163929,37726,89336,17101,0.1206
41,Indiana,Knox County,,35371,7017,17441,4112,0.1923
42,Indiana,Kosciusko County,,79816,17865,41334,9606,0.138
43,Indiana,LaGrange County,,40649,12737,19542,3875,0.1106
44,Indiana,Lake County,,496403,110811,258310,59673,0.1362
45,Indiana,LaPorte County,,105213,22259,52431,14572,0.1516
46,Indiana,Lawrence County,,44522,9165,22362,5300,0.1728
47,Indiana,Madison County,,127971,25138,60672,14591,0.2154
48,Indiana,Marion County,,966891,230449,520903,81607,0.1385
49,Indiana,Marshall County,,45718,10596,23195,6034,0.1289
50,Indiana,Martin County,,9699,2027,4633,1323,0.1769
51,Indiana,Miami County,,33299,7083,16371,3879,0.1792
