,GEO_0,GEO_1,GEO_2,hu_tot,hu_occ,hu_vacant,1u_detached,1u_attached,2u,3_4u,5_9u,10_19u,20_plusu,mobile_home,boat_rv_van,owner_occ,renter_occ,owner_median_value,renter_median_rent,hu_0_veh,hu_1_veh,hu_2_veh,hu_3plus_veh,0_veh_pct,1_veh_pct,2_veh_pct,3plus_veh_pct
0,Indiana,,,2976568,2716009,260559,2162475,117378,68962,110189,136404,101755,147961,129994,1450,1916243,799766,218200.0,1062.0,169447,867950,1036637,641975,0.0624,0.3196,0.3817,0.2364
0,Indiana,Adams County,,13308,12401,907,11065,447,382,239,310,357,316,192,0,10349,2052,178400.0,833.0,1626,2970,4668,3137,0.1311,0.2395,0.3764,0.253
1,Indiana,Allen County,,166285,156570,9715,121951,4463,3711,6115,9402,5563,10314,4685,81,107825,48745,214900.0,1021.0,10665,53731,59004,33170,0.0681,0.3432,0.3769,0.2119
2,Indiana,Bartholomew County,,35668,33359,2309,26763,708,593,944,1643,1275,2070,1671,1,23123,10236,232800.0,1127.0,1740,9660,13048,8911,0.0522,0.2896,0.3911,0.2671
3,Indiana,Benton County,,3762,3454,308,3238,46,133,138,64,17,8,111,7,2755,699,151000.0,774.0,165,1052,1105,1132,0.0478,0.3046,0.3199,0.3277
4,Indiana,Blackford County,,5853,5173,680,4633,76,120,152,220,119,114,400,19,3821,1352,107500.0,699.0,492,1532,1867,1282,0.0951,0.2962,0.3609,0.2478
5,Indiana,Boone County,,29737,28738,999,23635,1435,205,553,887,767,1561,694,0,22641,6097,376200.0,1359.0,685,8115,12013,7925,0.0238,0.2824,0.418,0.2758
6,Indiana,Brown County,,8577,6781,1796,7421,22,97,71,50,101,208,596,11,5873,908,269100.0,895.0,237,1405,2669,2470,0.035,0.2072,0.3936,0.3643
7,Indiana,Carroll County,,9559,8085,1474,8075,69,305,108,245,64,44,649,0,6645,1440,180900.0,890.0,368,1969,3068,2680,0.0455,0.2435,0.3795,0.3315
8,Indiana,Cass County,,16388,15037,1351,13250,200,600,599,440,151,346,793,9,11167,3870,133800.0,783.0,745,5150,5305,3837,0.0495,0.3425,0.3528,0.2552
9,Indiana,Clark County,,55049,51242,3807,40282,2048,931,1809,2368,1454,3228,2822,107,38300,12942,222900.0,1129.0,2584,17125,19979,11554,0.0504,0.3342,0.3899,0.2255
10,Indiana,Clay County,,11645,10549,1096,9466,286,102,115,148,43,286,1199,0,8530,2019,153000.0,873.0,440,2988,3623,3498,0.0417,0.2832,0.3434,0.3316
11,Indiana,Clinton County,,13517,12496,1021,11346,126,523,183,283,218,427,383,28,9271,3225,164100.0,920.0,508,3620,4450,3918,0.0407,0.2897,0.3561,0.3135
12,Indiana,Crawford County,,5914,4582,1332,3947,44,24,28,81,17,51,1695,27,3727,855,117700.0,686.0,238,1170,1715,1459,0.0519,0.2553,0.3743,0.3184
13,Indiana,Daviess County,,12887,11814,1073,10389,206,297,163,102,117,529,1082,2,8552,3262,197200.0,847.0,1612,2969,3650,3583,0.1364,0.2513,0.309,0.3033
14,Indiana,Dearborn County,,21098,20282,816,17267,747,571,403,494,426,656,528,6,17287,2995,243400.0,845.0,832,4921,7465,7064,0.041,0.2426,0.3681,0.3483
15,Indiana,Decatur County,,11685,10712,973,9646,223,365,226,477,2,382,345,19,8151,2561,199100.0,861.0,347,2960,4408,2997,0.0324,0.2763,0.4115,0.2798
16,Indiana,DeKalb County,,18384,17096,1288,14470,180,659,577,346,138,599,1415,0,14029,3067,194100.0,861.0,995,4631,5897,5573,0.0582,0.2709,0.3449,0.326
17,Indiana,Delaware County,,51635,46256,5379,37648,1231,1567,2158,2765,1848,1958,2443,17,30751,15505,139400.0,906.0,3308,15327,18480,9141,0.0715,0.3314,0.3995,0.1976
18,Indiana,Dubois County,,18836,17574,1262,14822,438,638,934,346,373,509,776,0,13131,4443,230100.0,834.0,736,4500,7014,5324,0.0419,0.2561,0.3991,0.3029
19,Indiana,Elkhart County,,80493,72309,8184,56552,2414,1930,3365,3429,2486,3705,6547,65,51749,20560,210400.0,1047.0,5618,23209,27051,16431,0.0777,0.321,0.3741,0.2272
20,Indiana,Fayette County,,10905,9422,1483,8654,195,400,478,183,129,430,436,0,6792,2630,130700.0,791.0,690,2974,3119,2639,0.0732,0.3156,0.331,0.2801
21,Indiana,Floyd County,,34833,31916,2917,26241,999,807,1183,1431,1285,1908,979,0,23358,8558,251000.0,1036.0,1841,9537,12306,8232,0.0577,0.2988,0.3856,0.2579
22,Indiana,Fountain County,,7875,6941,934,6028,36,383,407,63,39,29,888,2,5181,1760,143400.0,843.0,223,2068,2565,2085,0.0321,0.2979,0.3695,0.3004
23,Indiana,Franklin County,,9796,9211,585,7887,28,369,60,78,40,155,1179,0,7509,1702,249500.0,870.0,598,1979,2606,4028,0.0649,0.2149,0.2829,0.4373
24,Indiana,Fulton County,,9584,8051,1533,7686,43,214,283,113,77,53,1115,0,6447,1604,156500.0,839.0,482,2107,3208,2254,0.0599,0.2617,0.3985,0.28
25,Indiana,Gibson County,,14890,13438,1452,11766,129,353,456,332,176,402,1272,4,10307,3131,180000.0,935.0,544,3587,4885,4422,0.0405,0.2669,0.3635,0.3291
26,Indiana,Grant County,,29907,26773,3134,23719,580,698,1156,439,208,1381,1726,0,19470,7303,122300.0,853.0,1707,8914,9761,6391,0.0638,0.3329,0.3646,0.2387
27,Indiana,Greene County,,14356,13107,1249,10753,114,329,320,276,13,146,2391,14,10093,3014,153200.0,797.0,813,3316,4806,4172,0.062,0.253,0.3667,0.3183
28,Indiana,Hamilton County,,144746,137252,7494,108264,7327,1334,3837,7136,6651,8079,2118,0,104416,32836,405500.0,1574.0,3260,35712,67912,30368,0.0238,0.2602,0.4948,0.2213
29,Indiana,Hancock County,,34370,33474,896,28944,1071,698,625,906,997,639,480,10,26619,6855,274800.0,1203.0,995,8378,14888,9213,0.0297,0.2503,0.4448,0.2752
30,Indiana,Harrison County,,16953,15497,1456,12949,329,230,201,323,107,454,2348,12,12962,2535,229600.0,836.0,617,3847,5322,5711,0.0398,0.2482,0.3434,0.3685
31,Indiana,Hendricks County,,69675,67110,2565,55564,3511,773,1151,2444,2471,2853,908,0,52502,14608,307600.0,1436.0,2217,16251,30354,18288,0.033,0.2422,0.4523,0.2725
32,Indiana,Henry County,,20996,18642,2354,17237,496,585,467,411,286,637,838,39,14203,4439,154400.0,820.0,1064,5700,6834,5044,0.0571,0.3058,0.3666,0.2706
33,Indiana,Howard County,,39876,35593,4283,30222,1333,704,1633,1620,872,2188,1288,16,25119,10474,165000.0,937.0,2597,11785,13360,7851,0.073,0.3311,0.3754,0.2206
34,Indiana,Huntington County,,16340,15403,937,13515,330,513,436,289,128,514,612,3,11920,3483,161600.0,879.0,719,4563,6288,3833,0.0467,0.2962,0.4082,0.2488
