,GEO_0,GEO_1,GEO_2,workers_tot,drive_alone_pct,carpool_pct,pub_trans_pct,walk_pct,bike_pct,taxi_moto_pct,wfh_pct,mean_travel_time
0,Indiana,,,3260273,76.3,9.1,0.6,1.9,0.4,1.0,10.7,24.1
0,Indiana,Adams County,,15272,74.8,13.3,0.1,3.6,0.3,0.9,6.9,24.6
1,Indiana,Allen County,,188815,77.6,9.9,0.7,1.3,0.3,1.0,9.2,21.9
2,Indiana,Bartholomew County,,41204,75.6,7.9,0.8,0.9,0.3,0.7,13.8,21.5
3,Indiana,Benton County,,3886,80.0,7.6,1.6,2.0,0.0,1.0,7.6,25.4
4,Indiana,Blackford County,,5080,77.0,11.2,0.0,1.4,0.1,0.2,10.1,27.1
5,Indiana,Boone County,,38706,72.2,5.9,0.0,0.6,0.1,0.9,20.2,23.6
6,Indiana,Brown County,,7659,78.7,5.7,0.0,1.6,0.0,0.4,13.6,36.0
7,Indiana,Carroll County,,10162,83.0,8.4,0.3,0.8,0.0,1.3,6.2,25.2
8,Indiana,Cass County,,17073,82.3,10.8,0.4,1.5,0.2,0.8,4.1,22.3
9,Indiana,Clark County,,62146,76.6,7.9,0.2,1.2,0.4,1.0,12.7,22.2
10,Indiana,Clay County,,12144,81.2,11.8,0.1,1.3,0.1,0.7,4.8,29.1
11,Indiana,Clinton County,,15835,82.0,10.2,0.0,1.1,0.1,0.6,6.0,21.7
12,Indiana,Crawford County,,4189,75.5,14.6,0.2,1.1,0.3,0.1,8.2,37.4
13,Indiana,Daviess County,,14825,68.3,19.8,0.2,3.6,0.9,1.6,5.6,21.4
14,Indiana,Dearborn County,,25110,77.5,10.4,0.1,0.9,0.1,1.3,9.7,29.8
15,Indiana,Decatur County,,13045,78.8,7.5,0.0,2.0,0.0,0.8,10.9,24.0
16,Indiana,DeKalb County,,21644,81.4,10.9,0.2,1.1,0.3,1.1,5.0,21.3
17,Indiana,Delaware County,,51892,77.1,9.8,0.9,3.3,0.6,0.6,7.7,21.2
18,Indiana,Dubois County,,22223,84.5,7.3,0.2,1.6,0.1,0.8,5.6,19.8
19,Indiana,Elkhart County,,96597,74.3,15.7,0.2,2.4,1.4,0.8,5.1,20.0
20,Indiana,Fayette County,,10171,81.0,11.1,0.1,2.3,0.0,0.7,4.9,26.8
21,Indiana,Floyd County,,38946,77.1,7.4,0.0,0.6,0.0,0.7,14.1,23.1
22,Indiana,Fountain County,,7700,83.1,8.5,0.4,1.8,0.0,0.4,5.7,25.1
23,Indiana,Franklin County,,10918,78.0,9.3,0.0,2.0,0.0,1.4,9.3,36.0
24,Indiana,Fulton County,,8671,77.2,14.3,0.4,1.9,1.1,0.1,5.1,23.8
25,Indiana,Gibson County,,15570,82.6,9.3,0.4,2.3,0.1,1.7,3.6,20.6
26,Indiana,Grant County,,28612,74.9,10.2,0.1,5.5,0.4,1.1,7.8,22.0
27,Indiana,Greene County,,13524,80.4,8.5,0.0,2.4,0.2,1.8,6.6,30.0
28,Indiana,Hamilton County,,193091,68.9,6.0,0.0,0.8,0.2,0.8,23.3,25.9
29,Indiana,Hancock County,,43916,74.9,6.9,0.0,1.1,0.1,0.9,16.0,27.7
30,Indiana,Harrison County,,18278,80.6,9.0,0.1,1.0,0.0,0.1,9.1,30.5
31,Indiana,Hendricks County,,94044,76.1,7.2,0.1,0.7,0.1,0.9,14.8,25.3
32,Indiana,Henry County,,20561,78.5,9.2,0.4,1.7,0.2,0.6,9.3,25.8
33,Indiana,Howard County,,35768,79.8,11.6,0.3,1.6,0.1,0.7,6.0,20.4
34,Indiana,Huntington County,,17710,78.2,10.7,0.1,2.7,0.4,0.9,7.1,22.0
35,Indiana,Jackson County,,21943,83.5,8.5,0.0,1.6,0.0,1.8,4.5,22.6
36,Indiana,Jasper County,,14527,81.8,10.4,0.1,1.2,0.2,0.6,5.7,28.8
37,Indiana,Jay County,,8562,76.5,10.2,0.4,2.3,0.2,2.7,7.7,22.5
38,Indiana,Jefferson County,,14713,82.3,8.6,0.0,2.5,0.1,0.7,5.8,22.2
39,Indiana,Jennings County,,12395,82.4,11.4,0.0,0.9,0.2,0.2,4.9,26.1
40,Indiana,Johnson County,,83717,76.5,7.0,0.2,0.9,0.1,1.2,14.2,26.4
41,Indiana,Knox County,,16904,84.5,8.5,0.3,3.8,0.3,0.2,2.3,19.7
42,Indiana,Kosciusko County,,38862,75.8,10.6,0.1,2.4,1.1,1.4,8.6,20.3
43,Indiana,LaGrange County,,17679,47.7,29.2,0.8,2.6,7.2,3.7,8.8,21.8
44,Indiana,Lake County,,223415,79.6,8.0,1.4,1.2,0.2,1.4,8.2,28.5
45,Indiana,LaPorte County,,47606,83.4,7.0,0.5,1.1,0.1,0.6,7.2,25.0
46,Indiana,Lawrence County,,21203,81.2,9.2,0.0,2.3,0.0,0.3,7.0,27.2
47,Indiana,Madison County,,59368,77.2,9.7,0.3,1.2,0.4,0.9,10.4,26.3
48,Indiana,Marion County,,486246,72.0,9.6,1.3,1.7,0.3,1.1,13.9,24.5
49,Indiana,Marshall County,,21889,76.8,10.1,0.1,3.3,2.3,1.6,5.8,22.3
50,Indiana,Martin County,,4741,78.3,11.2,0.0,0.5,0.0,1.4,8.6,28.5
51,Indiana,Miami County,,14685,83.5,9.0,0.3,1.7,0.1,0.4,4.9,25.6
52,Indiana,Monroe County,,69333,64.8,9.0,2.0,6.3,1.0,0.9,15.9,19.6
53,Indiana,Montgomery County,,18416,78.1,10.3,0.2,3.2,0.1,0.7,7.4,22.8
54,Indiana,Morgan County,,34245,78.8,7.7,0.1,0.8,0.0,1.0,11.6,31.5
55,Indiana,Newton County,,6080,78.1,10.0,1.4,1.1,0.0,0.8,8.6,33.0
56,Indiana,Noble County,,22171,77.8,13.5,0.1,1.7,0.5,1.7,4.6,26.1
57,Indiana,Ohio County,,2755,79.2,9.8,0.0,1.7,0.0,0.0,9.3,34.3
58,Indiana,Orange County,,9204,77.8,13.3,0.1,0.8,0.0,1.9,6.1,25.3
59,Indiana,Owen County,,10039,78.3,9.3,0.0,1.9,0.0,0.7,9.8,35.5
60,Indiana,Parke County,,6485,72.2,11.5,0.0,3.1,0.3,1.1,11.7,30.4
61,Indiana,Perry County,,8329,84.8,7.1,0.2,0.7,0.2,1.5,5.6,23.9
62,Indiana,Pike County,,5583,81.2,12.4,0.0,0.9,0.0,0.4,5.1,26.6
63,Indiana,Porter County,,83571,81.0,6.6,0.6,1.2,0.2,0.8,9.5,28.4
64,Indiana,Posey County,,12221,82.7,8.1,0.1,2.1,0.3,0.8,6.0,23.4
65,Indiana,Pulaski County,,5711,76.4,13.4,0.3,2.2,0.0,1.6,5.9,25.9
66,Indiana,Putnam County,,16248,76.2,7.4,0.0,5.9,0.0,0.5,10.1,27.5
67,Indiana,Randolph County,,10368,79.1,9.8,0.0,2.5,1.1,1.9,5.6,24.3
68,Indiana,Ripley County,,14145,81.9,7.2,0.0,2.5,0.0,0.5,7.8,26.8
69,Indiana,Rush County,,7748,81.8,10.4,0.3,1.8,0.0,0.2,5.6,26.3
70,Indiana,St. Joseph County,,127667,74.7,8.5,1.0,3.3,0.7,1.0,10.7,21.1
71,Indiana,Scott County,,10823,82.8,7.4,0.2,1.3,0.4,0.6,7.4,24.7
72,Indiana,Shelby County,,21681,80.3,7.4,0.0,2.0,0.6,0.7,9.0,23.9
73,Indiana,Spencer County,,9726,87.5,5.4,0.1,1.8,0.0,0.7,4.5,26.0
74,Indiana,Starke County,,9638,81.5,10.4,0.2,1.5,0.0,1.6,4.8,29.8
75,Indiana,Steuben County,,15746,82.0,7.7,0.3,2.8,0.6,0.9,5.7,21.0
76,Indiana,Sullivan County,,8858,80.3,10.6,0.0,2.1,0.1,1.2,5.6,25.2
77,Indiana,Switzerland County,,4321,82.8,7.7,0.0,1.5,1.6,0.5,5.9,32.9
78,Indiana,Tippecanoe County,,90115,72.5,7.1,2.2,5.4,0.8,0.7,11.1,17.9
79,Indiana,Tipton County,,7085,78.6,9.3,0.2,1.7,1.3,0.6,8.2,28.1
80,Indiana,Union County,,3512,83.0,10.1,0.4,2.2,0.0,0.0,4.4,26.6
81,Indiana,Vanderburgh County,,87299,80.1,8.4,0.9,2.5,0.4,1.0,6.7,19.7
82,Indiana,Vermillion County,,6534,83.3,6.4,0.0,0.9,0.0,0.0,9.4,27.3
83,Indiana,Vigo County,,46298,77.8,11.7,0.8,2.9,0.5,0.8,5.5,19.9
84,Indiana,Wabash County,,14231,80.7,9.1,0.3,2.6,0.2,0.8,6.3,21.5
85,Indiana,Warren County,,4161,74.6,17.2,0.0,1.5,0.0,0.1,6.4,25.6
86,Indiana,Warrick County,,31865,80.2,8.0,0.1,1.6,0.0,0.8,9.3,23.3
