STATE,COUNTY,NAME,pop_total_sf1,year_sf1,rank_sf1,pop_total_dhc,year_dhc,rank_dhc
21,139,"Livingston County, Kentucky",9519,2010,102.0,8888,2020,104.0
21,163,"Meade County, Kentucky",28602,2010,38.0,30003,2020,36.0
21,141,"Logan County, Kentucky",26835,2010,41.0,27432,2020,39.0
21,143,"Lyon County, Kentucky",8314,2010,108.0,8680,2020,106.0
21,145,"McCracken County, Kentucky",65565,2010,12.0,67875,2020,12.0
21,153,"Magoffin County, Kentucky",13333,2010,85.0,11637,2020,92.0
21,155,"Marion County, Kentucky",19820,2010,59.0,19581,2020,59.0
21,157,"Marshall County, Kentucky",31448,2010,34.0,31659,2020,32.0
21,147,"McCreary County, Kentucky",18306,2010,62.0,16888,2020,68.0
21,149,"McLean County, Kentucky",9531,2010,101.0,9152,2020,101.0
21,151,"Madison County, Kentucky",82916,2010,9.0,92701,2020,9.0
21,159,"Martin County, Kentucky",12929,2010,87.0,11287,2020,94.0
21,161,"Mason County, Kentucky",17490,2010,65.0,17120,2020,66.0
21,179,"Nelson County, Kentucky",43437,2010,23.0,46738,2020,22.0
21,165,"Menifee County, Kentucky",6306,2010,116.0,6113,2020,115.0
21,167,"Mercer County, Kentucky",21331,2010,54.0,22641,2020,52.0
21,169,"Metcalfe County, Kentucky",10099,2010,100.0,10286,2020,99.0
21,171,"Monroe County, Kentucky",10963,2010,96.0,11338,2020,93.0
21,173,"Montgomery County, Kentucky",26499,2010,42.0,28114,2020,38.0
21,175,"Morgan County, Kentucky",13923,2010,80.0,13726,2020,79.0
21,177,"Muhlenberg County, Kentucky",31499,2010,33.0,30928,2020,33.0
21,189,"Owsley County, Kentucky",4755,2010,119.0,4051,2020,119.0
21,181,"Nicholas County, Kentucky",7135,2010,113.0,7537,2020,110.0
21,183,"Ohio County, Kentucky",23842,2010,49.0,23772,2020,50.0
21,185,"Oldham County, Kentucky",60316,2010,15.0,67607,2020,13.0
21,191,"Pendleton County, Kentucky",14877,2010,75.0,14644,2020,75.0
21,187,"Owen County, Kentucky",10841,2010,97.0,11278,2020,95.0
21,207,"Russell County, Kentucky",17565,2010,64.0,17991,2020,65.0
21,193,"Perry County, Kentucky",28712,2010,36.0,28473,2020,37.0
21,195,"Pike County, Kentucky",65024,2010,13.0,58669,2020,16.0
21,197,"Powell County, Kentucky",12613,2010,89.0,13129,2020,82.0
21,199,"Pulaski County, Kentucky",63063,2010,14.0,65034,2020,14.0
21,201,"Robertson County, Kentucky",2282,2010,120.0,2193,2020,120.0
21,203,"Rockcastle County, Kentucky",17056,2010,68.0,16037,2020,70.0
