fips5,Location,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,1950_PctChg,1960_PctChg,1970_PctChg,1980_PctChg,1990_PctChg,2000_PctChg,2010_PctChg,2020_PctChg,2030_PctChg,2040_PctChg,2050_PctChg
21001,Adair County,17603.0,14699.0,13037.0,15233.0,15360.0,17244.0,18656.0,18903.0,18507.0,17549.0,16291.0,,-0.165,-0.1131,0.1684,0.0083,0.1227,0.0819,0.0132,-0.0209,-0.0518,-0.0717
21003,Allen County,13787.0,12269.0,12598.0,14128.0,14628.0,17800.0,19956.0,20588.0,21496.0,21905.0,22029.0,,-0.1101,0.0268,0.1214,0.0354,0.2168,0.1211,0.0317,0.0441,0.019,0.0057
21005,Anderson County,8984.0,8618.0,9358.0,12567.0,14571.0,19111.0,21421.0,23852.0,25909.0,27493.0,28845.0,,-0.0407,0.0859,0.3429,0.1595,0.3116,0.1209,0.1135,0.0862,0.0611,0.0492
21007,Ballard County,8545.0,8291.0,8276.0,8798.0,7902.0,8286.0,8249.0,7728.0,7180.0,6558.0,5979.0,,-0.0297,-0.0018,0.0631,-0.1018,0.0486,-0.0045,-0.0632,-0.0709,-0.0866,-0.0883
21009,Barren County,28461.0,28303.0,28677.0,34009.0,34001.0,38033.0,42173.0,44485.0,46488.0,48100.0,49688.0,,-0.0056,0.0132,0.1859,-0.0002,0.1186,0.1089,0.0548,0.045,0.0347,0.033
21011,Bath County,10410.0,9114.0,9235.0,10025.0,9692.0,11085.0,11591.0,12750.0,13914.0,15272.0,17100.0,,-0.1245,0.0133,0.0855,-0.0332,0.1437,0.0456,0.1,0.0913,0.0976,0.1197
21013,Bell County,47602.0,35336.0,31087.0,34330.0,31506.0,30060.0,28691.0,24097.0,21269.0,18451.0,16039.0,,-0.2577,-0.1202,0.1043,-0.0823,-0.0459,-0.0455,-0.1601,-0.1174,-0.1325,-0.1307
21015,Boone County,13015.0,21940.0,32812.0,45842.0,57589.0,85991.0,118811.0,135968.0,152190.0,167998.0,181733.0,,0.6857,0.4955,0.3971,0.2562,0.4932,0.3817,0.1444,0.1193,0.1039,0.0818
21017,Bourbon County,17752.0,18178.0,18476.0,19405.0,19236.0,19360.0,19985.0,20252.0,20142.0,19766.0,19207.0,,0.024,0.0164,0.0503,-0.0087,0.0064,0.0323,0.0134,-0.0054,-0.0187,-0.0283
21019,Boyd County,49949.0,52163.0,52376.0,55513.0,51150.0,49752.0,49542.0,48261.0,46111.0,43575.0,41028.0,,0.0443,0.0041,0.0599,-0.0786,-0.0273,-0.0042,-0.0259,-0.0445,-0.055,-0.0585
21021,Boyle County,20532.0,21257.0,21090.0,25066.0,25641.0,27697.0,28432.0,30614.0,31918.0,32719.0,33330.0,,0.0353,-0.0079,0.1885,0.0229,0.0802,0.0265,0.0767,0.0426,0.0251,0.0187
21023,Bracken County,8424.0,7422.0,7227.0,7738.0,7766.0,8279.0,8488.0,8400.0,8112.0,7609.0,6988.0,,-0.1189,-0.0263,0.0707,0.0036,0.0661,0.0252,-0.0104,-0.0343,-0.062,-0.0816
21025,Breathitt County,19964.0,15490.0,14221.0,17004.0,15703.0,16100.0,13878.0,13718.0,13157.0,12185.0,11209.0,,-0.2241,-0.0819,0.1957,-0.0765,0.0253,-0.138,-0.0115,-0.0409,-0.0739,-0.0801
21027,Breckinridge County,15528.0,14734.0,14789.0,16861.0,16312.0,18648.0,20059.0,20432.0,20581.0,20273.0,19856.0,,-0.0511,0.0037,0.1401,-0.0326,0.1432,0.0757,0.0186,0.0073,-0.015,-0.0206
21029,Bullitt County,11349.0,15726.0,26090.0,43346.0,47567.0,61236.0,74319.0,82217.0,88420.0,92112.0,93398.0,,0.3857,0.659,0.6614,0.0974,0.2874,0.2136,0.1063,0.0754,0.0418,0.014
21031,Butler County,11309.0,9586.0,9723.0,11064.0,11245.0,13010.0,12690.0,12371.0,12254.0,11906.0,11554.0,,-0.1524,0.0143,0.1379,0.0164,0.157,-0.0246,-0.0251,-0.0095,-0.0284,-0.0296
21033,Caldwell County,13199.0,13073.0,13179.0,13473.0,13232.0,13060.0,12984.0,12649.0,12189.0,11727.0,11316.0,,-0.0095,0.0081,0.0223,-0.0179,-0.013,-0.0058,-0.0258,-0.0364,-0.0379,-0.035
21035,Calloway County,20147.0,20972.0,27692.0,30031.0,30735.0,34177.0,37191.0,37103.0,38298.0,38626.0,38424.0,,0.0409,0.3204,0.0845,0.0234,0.112,0.0882,-0.0024,0.0322,0.0086,-0.0052
21037,Campbell County,76196.0,86803.0,88501.0,83317.0,83866.0,88616.0,90336.0,93076.0,94981.0,94140.0,91848.0,,0.1392,0.0196,-0.0586,0.0066,0.0566,0.0194,0.0303,0.0205,-0.0089,-0.0243
21039,Carlisle County,6206.0,5608.0,5354.0,5487.0,5238.0,5351.0,5104.0,4826.0,4445.0,4090.0,3765.0,,-0.0964,-0.0453,0.0248,-0.0454,0.0216,-0.0462,-0.0545,-0.0789,-0.0799,-0.0795
21041,Carroll County,8517.0,7978.0,8523.0,9270.0,9292.0,10155.0,10811.0,10810.0,10667.0,10512.0,10407.0,,-0.0633,0.0683,0.0876,0.0024,0.0929,0.0646,-0.0001,-0.0132,-0.0145,-0.01
21043,Carter County,22559.0,20817.0,19850.0,25060.0,24340.0,26889.0,27720.0,26627.0,24816.0,22647.0,20501.0,,-0.0772,-0.0465,0.2625,-0.0287,0.1047,0.0309,-0.0394,-0.068,-0.0874,-0.0948
21045,Casey County,17446.0,14327.0,12930.0,14818.0,14211.0,15447.0,15955.0,15941.0,15544.0,14960.0,14429.0,,-0.1788,-0.0975,0.146,-0.041,0.087,0.0329,-0.0009,-0.0249,-0.0376,-0.0355
21047,Christian County,42359.0,56904.0,56224.0,66878.0,68941.0,72265.0,73955.0,72748.0,69925.0,65458.0,61086.0,,0.3434,-0.0119,0.1895,0.0308,0.0482,0.0234,-0.0163,-0.0388,-0.0639,-0.0668
21049,Clark County,18898.0,21075.0,24090.0,28322.0,29496.0,33144.0,35613.0,36972.0,37862.0,38016.0,38047.0,,0.1152,0.1431,0.1757,0.0415,0.1237,0.0745,0.0382,0.0241,0.0041,0.0008
21051,Clay County,23116.0,20748.0,18481.0,22752.0,21746.0,24556.0,21730.0,20345.0,19073.0,17447.0,15852.0,,-0.1024,-0.1093,0.2311,-0.0442,0.1292,-0.1151,-0.0637,-0.0625,-0.0853,-0.0914
21053,Clinton County,10605.0,8886.0,8174.0,9321.0,9135.0,9634.0,10272.0,9253.0,8978.0,8615.0,8278.0,,-0.1621,-0.0801,0.1403,-0.02,0.0546,0.0662,-0.0992,-0.0297,-0.0404,-0.0391
21055,Crittenden County,10818.0,8648.0,8493.0,9207.0,9196.0,9384.0,9315.0,8990.0,8477.0,7924.0,7355.0,,-0.2006,-0.0179,0.0841,-0.0012,0.0204,-0.0074,-0.0349,-0.0571,-0.0652,-0.0718
21057,Cumberland County,9309.0,7835.0,6850.0,7289.0,6784.0,7147.0,6856.0,5888.0,5555.0,5095.0,4629.0,,-0.1583,-0.1257,0.0641,-0.0693,0.0535,-0.0407,-0.1412,-0.0566,-0.0828,-0.0915
