,GEO_0,GEO_1,GEO_2,GEO_3,pop_total,white,black,indian,asian,pacific,other,multi,latino,white_pct,black_pct,indian_pct,asian_pct,pacific_pct,other_pct,multi_pct,latino_pct
0,Kentucky,,,,4505836,3664764,357764,8080,73843,3462,14706,175363,207854,0.8133371920327327,0.07940013795442177,0.001793229935576883,0.016388301749109376,0.0007683368857632635,0.0032637672565091137,0.03891908183076348,0.046129952355123446
0,Kentucky,McLean County,,,9152,8691,47,10,13,2,28,197,164,0.9496284965034965,0.00513548951048951,0.0010926573426573427,0.0014204545454545455,0.00021853146853146853,0.0030594405594405595,0.021525349650349652,0.01791958041958042
1,Kentucky,Lyon County,,,8680,7733,507,25,34,0,21,208,152,0.8908986175115208,0.05841013824884793,0.002880184331797235,0.00391705069124424,0.0,0.0024193548387096775,0.023963133640552997,0.017511520737327188
2,Kentucky,McCracken County,,,67875,53801,7539,170,660,18,223,3329,2135,0.7926482504604051,0.11107182320441988,0.0025046040515653775,0.009723756906077349,0.00026519337016574587,0.003285451197053407,0.049046040515653776,0.0314548802946593
3,Kentucky,Calloway County,,,37103,32235,1293,53,433,11,110,1615,1353,0.8687976713473304,0.03484893404845969,0.0014284559200064685,0.01167021534646794,0.0002964719833975689,0.0029647198339756895,0.04352747756246125,0.03646605395790098
4,Kentucky,Bullitt County,,,82217,74787,1031,177,445,23,172,3465,2117,0.9096293953805175,0.012539985647737086,0.0021528394370993833,0.005412505929430653,0.00027974749747619105,0.002092024763734994,0.04214456864152183,0.025748932702482456
5,Kentucky,Butler County,,,12371,11370,15,22,21,3,23,325,592,0.9190849567536982,0.0012125131355589685,0.0017783525988198205,0.001697518389782556,0.00024250262711179372,0.0018591868078570851,0.026271117937110986,0.04785385175006063
6,Kentucky,Caldwell County,,,12649,11190,654,21,53,2,29,502,198,0.8846549134318918,0.05170369199146178,0.0016602102933038186,0.00419005454976678,0.0001581152660289351,0.002292671357419559,0.039686931773262706,0.015653411336864573
7,Kentucky,Campbell County,,,93076,82743,2796,117,1024,30,370,3687,2309,0.8889831965275689,0.03003996733851906,0.0012570372598736516,0.011001762000945464,0.00032231724612144915,0.003975246035497873,0.0396127895483261,0.024807684043147534
8,Kentucky,Carlisle County,,,4826,4443,59,27,10,0,0,154,133,0.920638209697472,0.012225445503522586,0.005594695399917115,0.0020721094073767096,0.0,0.0,0.031910484873601326,0.027559055118110236
9,Kentucky,Carroll County,,,10810,9401,169,20,44,3,11,367,795,0.8696577243293246,0.01563367252543941,0.0018501387604070306,0.004070305272895467,0.0002775208140610546,0.0010175763182238668,0.03395004625346901,0.07354301572617947
