,GEO_0,GEO_1,GEO_2,GEO_3,median_HH_income,per_capita_income,gini_index,pop_FPL_total,pop_FPL_LT50,pop_FPL_50_99,below_poverty_pct
0,Kentucky,,,,63726.0,35821.0,0.477,4409674,335476,372845,0.1606
0,Kentucky,Adair County,,,53553.0,28489.0,0.4725,17871,1686,1601,0.1839
1,Kentucky,Allen County,,,61403.0,30852.0,0.4349,20974,950,1872,0.1345
2,Kentucky,Anderson County,,,74488.0,35735.0,0.3973,24206,935,1841,0.1147
3,Kentucky,Ballard County,,,66164.0,35589.0,0.4354,7509,518,609,0.1501
4,Kentucky,Barren County,,,50628.0,29914.0,0.4791,44130,4193,4365,0.1939
5,Kentucky,Bath County,,,56541.0,29906.0,0.5405,12710,1331,1886,0.2531
6,Kentucky,Bell County,,,31354.0,21704.0,0.5103,22735,2856,3697,0.2882
7,Kentucky,Boone County,,,99414.0,46264.0,0.419,138597,4165,4566,0.063
8,Kentucky,Bourbon County,,,61354.0,33889.0,0.4636,20061,1103,1754,0.1424
9,Kentucky,Boyd County,,,61118.0,31752.0,0.4582,45906,3469,4311,0.1695
10,Kentucky,Boyle County,,,61159.0,31524.0,0.4572,27902,2171,2194,0.1564
11,Kentucky,Bracken County,,,66319.0,33389.0,0.4421,8355,794,837,0.1952
12,Kentucky,Breathitt County,,,34808.0,22593.0,0.4906,13071,1951,2380,0.3313
13,Kentucky,Breckinridge County,,,55843.0,30854.0,0.4707,20433,1845,2519,0.2136
14,Kentucky,Bullitt County,,,80558.0,38684.0,0.4031,83620,3436,4668,0.0969
15,Kentucky,Butler County,,,56092.0,27030.0,0.4207,12025,820,1647,0.2052
16,Kentucky,Caldwell County,,,59583.0,30830.0,0.4279,12458,799,1088,0.1515
17,Kentucky,Calloway County,,,52706.0,29867.0,0.468,35367,3160,2923,0.172
18,Kentucky,Campbell County,,,77567.0,46100.0,0.4765,90819,5323,4757,0.111
19,Kentucky,Carlisle County,,,62439.0,33432.0,0.45,4695,264,444,0.1508
20,Kentucky,Carroll County,,,56466.0,29735.0,0.4604,10688,1505,967,0.2313
21,Kentucky,Carter County,,,51235.0,27994.0,0.4563,25715,1815,3117,0.1918
22,Kentucky,Casey County,,,45510.0,26254.0,0.4867,15530,1298,2076,0.2173
23,Kentucky,Christian County,,,55494.0,27039.0,0.4365,67311,5271,6255,0.1712
24,Kentucky,Clark County,,,64348.0,37681.0,0.4844,36421,2337,2973,0.1458
25,Kentucky,Clay County,,,40900.0,21846.0,0.4715,18338,2169,3764,0.3235
26,Kentucky,Clinton County,,,44844.0,24457.0,0.4277,9059,590,993,0.1747
27,Kentucky,Crittenden County,,,46656.0,28700.0,0.4558,8754,799,752,0.1772
28,Kentucky,Cumberland County,,,40000.0,24221.0,0.4527,5835,492,955,0.248
29,Kentucky,Daviess County,,,68214.0,36554.0,0.467,101047,8613,6261,0.1472
30,Kentucky,Edmonson County,,,54937.0,29834.0,0.4485,12196,708,1160,0.1532
31,Kentucky,Elliott County,,,45776.0,21178.0,0.4478,6274,701,875,0.2512
32,Kentucky,Estill County,,,46051.0,25226.0,0.4457,13771,1101,1755,0.2074
33,Kentucky,Fayette County,,,69479.0,43790.0,0.4921,311423,24115,22366,0.1493
34,Kentucky,Fleming County,,,49307.0,25869.0,0.4422,15265,1765,1468,0.2118
35,Kentucky,Floyd County,,,41279.0,25406.0,0.4892,34265,4981,4630,0.2805
