,GEO_0,GEO_1,GEO_2,pop,LT18_0_disab,18to64_0_disab,GT64_0_disab,disable_pct
0,Kentucky,,,4454667,958287,2234846,464418,0.1789
0,Kentucky,Adair County,,18850,3492,9320,1721,0.229
1,Kentucky,Allen County,,21112,4666,10210,2327,0.1852
2,Kentucky,Anderson County,,24254,5322,12073,2582,0.1763
3,Kentucky,Ballard County,,7535,1445,3746,1031,0.1743
4,Kentucky,Barren County,,44319,10123,20237,4377,0.2162
5,Kentucky,Bath County,,12765,3112,5802,1247,0.204
6,Kentucky,Bell County,,23046,4849,10428,1943,0.2528
7,Kentucky,Boone County,,138860,33941,74350,13795,0.1208
8,Kentucky,Bourbon County,,20129,4239,9907,2431,0.1765
9,Kentucky,Boyd County,,46075,9238,21069,5455,0.2238
10,Kentucky,Boyle County,,29289,5795,14744,3706,0.1722
11,Kentucky,Bracken County,,8415,1782,4014,944,0.199
12,Kentucky,Breathitt County,,13193,2524,5337,1118,0.3194
13,Kentucky,Breckinridge County,,20569,4525,9218,2302,0.2199
14,Kentucky,Bullitt County,,83710,16945,45042,8741,0.1551
15,Kentucky,Butler County,,12217,2784,5801,1345,0.1872
16,Kentucky,Caldwell County,,12456,2562,5410,1117,0.2703
17,Kentucky,Calloway County,,37893,6505,20989,4071,0.167
18,Kentucky,Campbell County,,92315,18260,50570,11173,0.1334
19,Kentucky,Carlisle County,,4688,1044,2300,551,0.1692
20,Kentucky,Carroll County,,10695,2860,4976,992,0.1746
21,Kentucky,Carter County,,26082,5729,12189,2710,0.2091
22,Kentucky,Casey County,,15562,3433,7417,1900,0.1807
23,Kentucky,Christian County,,64098,19100,28650,5282,0.1726
24,Kentucky,Clark County,,36774,7687,17407,4121,0.2056
25,Kentucky,Clay County,,18569,3779,8119,1544,0.2761
26,Kentucky,Clinton County,,9066,1790,4397,862,0.2225
27,Kentucky,Crittenden County,,8769,1955,3338,938,0.2894
28,Kentucky,Cumberland County,,5869,1305,2594,684,0.2191
29,Kentucky,Daviess County,,102283,23719,50088,11281,0.1681
30,Kentucky,Edmonson County,,12276,1992,5919,1370,0.244
31,Kentucky,Elliott County,,6292,1092,2890,768,0.2451
32,Kentucky,Estill County,,13939,2829,6324,1340,0.2472
33,Kentucky,Fayette County,,319452,64037,181755,31298,0.1326
34,Kentucky,Fleming County,,15265,3499,7155,1628,0.1954
35,Kentucky,Floyd County,,34594,7017,14613,3153,0.2836
36,Kentucky,Franklin County,,50863,9851,26247,6171,0.169
37,Kentucky,Fulton County,,5929,1207,2524,861,0.2255
38,Kentucky,Gallatin County,,8699,1929,4465,759,0.1777
