,GEO_0,GEO_1,GEO_2,GEO_3,hh,spanish,euro,asian,other,limeng_pct
0,Kentucky,,,,1814469,17131,5001,5304,3549,0.01707662131455539
0,Kentucky,Adair County,,,7136,18,37,0,14,0.009669282511210762
1,Kentucky,Allen County,,,8035,14,52,0,0,0.00821406347230865
2,Kentucky,Anderson County,,,9653,0,0,0,0,0.0
3,Kentucky,Ballard County,,,3209,0,0,0,0,0.0
4,Kentucky,Barren County,,,18017,192,0,40,0,0.012876727535105733
5,Kentucky,Bath County,,,4698,0,33,0,0,0.0070242656449553
6,Kentucky,Bell County,,,9939,0,0,0,0,0.0
7,Kentucky,Boone County,,,50963,239,196,201,58,0.013617722661538764
8,Kentucky,Bourbon County,,,8134,58,10,7,0,0.009220555692156381
9,Kentucky,Boyd County,,,19309,35,21,10,14,0.004143145683360091
10,Kentucky,Boyle County,,,12045,85,0,0,0,0.007056870070568701
11,Kentucky,Bracken County,,,3364,0,0,0,0,0.0
12,Kentucky,Breathitt County,,,5464,6,0,0,0,0.0010980966325036604
13,Kentucky,Breckinridge County,,,8069,4,25,0,0,0.0035940017350353202
14,Kentucky,Bullitt County,,,31747,238,0,59,0,0.009355214665952688
15,Kentucky,Butler County,,,4567,73,0,0,0,0.01598423472739216
16,Kentucky,Caldwell County,,,5025,11,12,0,0,0.004577114427860697
17,Kentucky,Calloway County,,,15239,41,75,44,0,0.010499376599514405
18,Kentucky,Campbell County,,,39232,60,80,14,0,0.0039253670473083195
19,Kentucky,Carlisle County,,,1865,0,0,0,0,0.0
20,Kentucky,Carroll County,,,4178,45,0,0,0,0.01077070368597415
21,Kentucky,Carter County,,,10794,0,0,0,0,0.0
22,Kentucky,Casey County,,,6482,87,8,1,0,0.014810243751928418
23,Kentucky,Christian County,,,25725,241,80,167,0,0.018969873663751215
24,Kentucky,Clark County,,,15055,14,24,0,0,0.002524078379275988
25,Kentucky,Clay County,,,7288,0,0,0,0,0.0
26,Kentucky,Clinton County,,,3854,14,0,0,0,0.0036325895173845357
27,Kentucky,Crittenden County,,,3543,0,39,0,0,0.01100762066045724
28,Kentucky,Cumberland County,,,2630,4,16,0,0,0.0076045627376425855
29,Kentucky,Daviess County,,,41639,293,67,181,37,0.013881217128173107
30,Kentucky,Edmonson County,,,5099,0,0,41,0,0.008040792312218083
31,Kentucky,Elliott County,,,2440,0,0,0,0,0.0
32,Kentucky,Estill County,,,5975,61,0,0,0,0.010209205020920502
33,Kentucky,Fayette County,,,139715,2561,800,1383,1061,0.041548867337079055
34,Kentucky,Fleming County,,,5859,0,24,18,0,0.007168458781362007
35,Kentucky,Floyd County,,,14700,0,0,77,0,0.005238095238095238
36,Kentucky,Franklin County,,,22718,243,0,66,37,0.015230213927282332
37,Kentucky,Fulton County,,,2550,0,0,0,0,0.0
38,Kentucky,Gallatin County,,,3265,22,20,0,0,0.012863705972434915
39,Kentucky,Garrard County,,,6695,22,24,0,0,0.006870799103808813
40,Kentucky,Grant County,,,9224,0,0,44,0,0.004770164787510842
