,GEO_0,GEO_1,GEO_2,hu_tot,hu_occ,hu_vacant,1u_detached,1u_attached,2u,3_4u,5_9u,10_19u,20_plusu,mobile_home,boat_rv_van,owner_occ,renter_occ,owner_median_value,renter_median_rent,hu_0_veh,hu_1_veh,hu_2_veh,hu_3plus_veh,0_veh_pct,1_veh_pct,2_veh_pct,3plus_veh_pct
0,Kentucky,,,2023116,1814469,208647,1365469,57946,55604,87591,93378,69336,74778,216431,2583,1239908,574561,205600.0,967.0,122787,587734,674002,429946,0.0676710376424177,0.3239151509339647,0.3714596391561388,0.2369541722674788
0,Kentucky,Adair County,,8648,7136,1512,6352,153,114,113,237,91,68,1512,8,5510,1626,150800.0,771.0,436,1806,2775,2119,0.06109865470852018,0.2530829596412556,0.3888733183856502,0.296945067264574
1,Kentucky,Allen County,,9275,8035,1240,6650,53,129,113,177,200,51,1861,41,5983,2052,192300.0,844.0,446,2274,2994,2321,0.05550715619166148,0.28301182327317986,0.3726197884256378,0.28886123210952086
2,Kentucky,Anderson County,,10326,9653,673,8564,212,617,185,9,25,28,686,0,7492,2161,225100.0,927.0,366,2344,3540,3403,0.0379156738837667,0.24282606443592666,0.3667253703511862,0.35253289132912047
3,Kentucky,Ballard County,,3702,3209,493,2739,28,89,170,62,25,3,586,0,2438,771,145800.0,817.0,135,844,1325,905,0.04206918043004051,0.26301028357743844,0.41290121533187907,0.28201932066064195
4,Kentucky,Barren County,,20283,18017,2266,13865,262,1107,1376,619,217,204,2613,20,11743,6274,178000.0,796.0,1601,5315,5860,5241,0.088860520619415,0.2949991674529611,0.32524837653327415,0.29089193539434977
5,Kentucky,Bath County,,5499,4698,801,3499,14,22,55,81,65,61,1685,17,3510,1188,129800.0,659.0,427,1232,1625,1414,0.09088974031502767,0.2622392507449979,0.34589186888037465,0.3009791400595998
6,Kentucky,Bell County,,11631,9939,1692,6797,82,268,646,392,155,413,2878,0,5847,4092,89000.0,592.0,1054,4079,3178,1628,0.10604688600462824,0.410403461112788,0.3197504779152832,0.16379917496730054
7,Kentucky,Boone County,,53195,50963,2232,36397,3335,526,1193,3496,4369,1976,1894,9,38868,12095,277300.0,1373.0,1790,14096,21391,13686,0.035123520985813235,0.2765928222435885,0.4197358868198497,0.2685477699507486
8,Kentucky,Bourbon County,,9181,8134,1047,6794,304,640,448,349,45,77,524,0,5181,2953,229300.0,822.0,405,2814,2941,1974,0.049791000737644454,0.3459552495697074,0.3615687238750922,0.24268502581755594
9,Kentucky,Boyd County,,21742,19309,2433,16048,340,448,482,938,349,666,2426,45,13549,5760,130700.0,849.0,1625,6295,7247,4142,0.08415764669325185,0.3260137759593972,0.37531720959138226,0.2145113677559687
10,Kentucky,Boyle County,,13010,12045,965,9763,300,1048,537,472,91,207,592,0,8185,3860,209900.0,778.0,704,4004,4723,2614,0.058447488584474884,0.3324200913242009,0.3921129099211291,0.2170195101701951
11,Kentucky,Bracken County,,3860,3364,496,2329,115,49,66,97,35,34,1135,0,2642,722,125000.0,756.0,99,816,1158,1291,0.029429250891795482,0.24256837098692033,0.3442330558858502,0.38376932223543403
12,Kentucky,Breathitt County,,6575,5464,1111,3269,74,61,180,129,47,37,2716,62,4185,1279,70300.0,548.0,833,1920,1580,1131,0.1524524158125915,0.3513909224011713,0.2891654465592972,0.20699121522693997
13,Kentucky,Breckinridge County,,10799,8069,2730,7233,67,87,106,124,109,80,2993,0,6569,1500,156700.0,733.0,338,2061,2994,2676,0.041888709877308215,0.25542198537613087,0.37104969636881896,0.331639608377742
14,Kentucky,Bullitt County,,33608,31747,1861,26668,1091,273,1376,1028,354,306,2490,22,26962,4785,247200.0,987.0,1284,8213,12466,9784,0.04044476643462375,0.25870160960090716,0.3926670236557785,0.3081866003086906
15,Kentucky,Butler County,,5455,4567,888,3642,13,171,70,91,138,2,1323,5,3367,1200,111100.0,679.0,376,1014,1648,1529,0.08232975695204729,0.22202758922706373,0.3608495730238669,0.33479308079702214
16,Kentucky,Caldwell County,,6064,5025,1039,4852,37,250,163,40,40,27,655,0,3528,1497,118500.0,767.0,287,1361,1878,1499,0.057114427860696516,0.2708457711442786,0.3737313432835821,0.29830845771144276
17,Kentucky,Calloway County,,18106,15239,2867,11557,197,1249,1058,1135,313,127,2386,84,9738,5501,183200.0,870.0,755,5582,5675,3227,0.049543933328958595,0.36629700111555874,0.3723997637640265,0.21175930179145613
18,Kentucky,Campbell County,,42065,39232,2833,26995,1521,1767,1541,3077,3392,3100,672,0,27886,11346,252000.0,1145.0,2217,13544,14935,8536,0.05650999184339315,0.3452283849918434,0.3806841353996737,0.21757748776508973
19,Kentucky,Carlisle County,,2307,1865,442,1718,0,17,49,51,5,16,441,10,1499,366,120400.0,792.0,52,531,677,605,0.027882037533512063,0.2847184986595174,0.36300268096514743,0.32439678284182305
20,Kentucky,Carroll County,,4693,4178,515,3056,92,196,77,229,71,47,925,0,2747,1431,140900.0,910.0,308,1115,1431,1324,0.07371948300622308,0.2668741024413595,0.342508377213978,0.31689803733843946
21,Kentucky,Carter County,,12316,10794,1522,8440,140,57,176,175,105,126,3097,0,8639,2155,132800.0,740.0,893,2624,3499,3778,0.08273114693348156,0.24309801741708356,0.3241615712432833,0.35000926440615154
22,Kentucky,Casey County,,7420,6482,938,5429,41,111,51,83,0,13,1692,0,5167,1315,136300.0,670.0,623,1588,2465,1806,0.09611231101511879,0.24498611539648257,0.3802838630052453,0.2786177105831533
23,Kentucky,Christian County,,29362,25725,3637,18847,1480,1553,2179,1512,603,714,2428,46,12874,12851,173600.0,1040.0,1999,9216,9883,4627,0.07770651117589893,0.35825072886297377,0.38417881438289603,0.1798639455782313
24,Kentucky,Clark County,,16418,15055,1363,11654,979,787,521,608,276,335,1227,31,10640,4415,205800.0,938.0,1180,4646,5736,3493,0.07837927598804384,0.3086017934241116,0.381002989040186,0.2320159415476586
25,Kentucky,Clay County,,8664,7288,1376,5365,45,114,175,160,18,86,2662,39,5565,1723,90700.0,724.0,962,2039,2604,1683,0.13199780461031832,0.27977497255762895,0.3572996706915478,0.23092755214050495
26,Kentucky,Clinton County,,4850,3854,996,3398,21,71,45,39,14,77,1180,5,2742,1112,122200.0,617.0,129,1118,1628,979,0.03347171769590036,0.2900882200311365,0.42241826673585886,0.2540217955371043
27,Kentucky,Crittenden County,,4346,3543,803,3623,17,70,75,20,0,0,541,0,2771,772,127300.0,714.0,211,1089,1162,1081,0.05955405023990968,0.3073666384419983,0.32797064634490547,0.30510866497318656
28,Kentucky,Cumberland County,,3404,2630,774,2413,26,122,46,29,13,33,715,7,1986,644,141100.0,523.0,246,730,846,808,0.0935361216730038,0.27756653992395436,0.32167300380228137,0.30722433460076043
