,GEO_0,GEO_1,GEO_2,workers_tot,drive_alone_pct,carpool_pct,pub_trans_pct,walk_pct,bike_pct,taxi_moto_pct,wfh_pct,mean_travel_time
0,Kentucky,,,2017413,76.6,9.3,0.6,2.0,0.2,1.1,10.2,24.0
0,Kentucky,Adair County,,7811,71.6,10.1,0.0,2.4,0.0,2.1,13.7,23.8
1,Kentucky,Allen County,,9070,81.6,8.9,0.1,3.6,0.0,0.2,5.7,27.3
2,Kentucky,Anderson County,,11331,80.5,7.8,0.0,0.7,0.0,1.6,9.5,30.4
3,Kentucky,Ballard County,,3396,87.2,7.6,0.2,1.6,0.0,0.8,2.6,26.5
4,Kentucky,Barren County,,18272,77.3,12.0,0.4,1.5,0.0,1.5,7.3,23.4
5,Kentucky,Bath County,,5058,80.4,11.2,0.0,2.7,0.0,0.2,5.5,30.0
6,Kentucky,Bell County,,7072,72.3,16.7,0.3,5.6,0.3,0.5,4.4,22.7
7,Kentucky,Boone County,,69770,77.0,7.3,0.4,0.3,0.1,1.6,13.4,25.0
8,Kentucky,Bourbon County,,8971,73.4,12.0,0.2,2.1,0.5,1.0,10.7,25.4
9,Kentucky,Boyd County,,18936,80.7,9.6,0.1,2.7,0.0,0.9,5.9,22.1
10,Kentucky,Boyle County,,12837,77.7,7.4,0.1,4.1,0.0,0.6,10.0,21.3
11,Kentucky,Bracken County,,3654,80.5,14.0,0.2,1.9,0.0,0.0,3.4,34.5
12,Kentucky,Breathitt County,,4150,71.7,17.0,0.1,3.3,0.0,0.8,7.0,28.2
13,Kentucky,Breckinridge County,,8293,81.5,9.7,1.1,2.3,0.0,1.7,3.8,32.7
14,Kentucky,Bullitt County,,41578,80.3,8.4,0.0,0.9,0.0,0.4,10.0,28.7
15,Kentucky,Butler County,,4895,79.8,11.7,0.0,5.4,0.0,1.0,2.1,27.2
16,Kentucky,Caldwell County,,5300,80.5,13.4,0.0,1.9,0.0,0.1,4.0,24.4
17,Kentucky,Calloway County,,17370,78.3,8.5,0.1,6.1,0.1,0.8,6.0,17.3
18,Kentucky,Campbell County,,47834,71.7,7.2,0.8,2.2,0.2,0.8,17.1,23.5
19,Kentucky,Carlisle County,,2066,85.2,8.8,0.6,0.3,0.0,0.8,4.3,26.1
