STATE,COUNTY,NAME,pop_total_sf1,year_sf1,rank_sf1,pop_total_dhc,year_dhc,rank_dhc
39,081,"Jefferson County, Ohio",69709,2010,37.0,65249,2020,38.0
39,099,"Mahoning County, Ohio",238823,2010,10.0,228614,2020,12.0
39,085,"Lake County, Ohio",230041,2010,11.0,232603,2020,11.0
39,087,"Lawrence County, Ohio",62450,2010,40.0,58240,2020,46.0
39,089,"Licking County, Ohio",166492,2010,17.0,178519,2020,17.0
39,097,"Madison County, Ohio",43435,2010,56.0,43824,2020,54.0
39,095,"Lucas County, Ohio",441815,2010,6.0,431279,2020,6.0
39,091,"Logan County, Ohio",45858,2010,52.0,46150,2020,52.0
39,093,"Lorain County, Ohio",301356,2010,9.0,312964,2020,9.0
39,111,"Monroe County, Ohio",14642,2010,87.0,13385,2020,87.0
39,101,"Marion County, Ohio",66501,2010,38.0,65359,2020,37.0
39,103,"Medina County, Ohio",172332,2010,16.0,182470,2020,16.0
39,105,"Meigs County, Ohio",23770,2010,81.0,22210,2020,81.0
39,107,"Mercer County, Ohio",40814,2010,62.0,42528,2020,58.0
39,109,"Miami County, Ohio",102506,2010,27.0,108774,2020,25.0
39,127,"Perry County, Ohio",36058,2010,68.0,35408,2020,68.0
39,113,"Montgomery County, Ohio",535153,2010,5.0,537309,2020,5.0
39,115,"Morgan County, Ohio",15054,2010,85.0,13802,2020,86.0
39,117,"Morrow County, Ohio",34827,2010,69.0,34950,2020,69.0
39,119,"Muskingum County, Ohio",86074,2010,31.0,86410,2020,31.0
39,121,"Noble County, Ohio",14645,2010,86.0,14115,2020,85.0
39,123,"Ottawa County, Ohio",41428,2010,61.0,40364,2020,62.0
39,125,"Paulding County, Ohio",19614,2010,83.0,18806,2020,83.0
39,139,"Richland County, Ohio",124475,2010,23.0,124936,2020,23.0
39,129,"Pickaway County, Ohio",55698,2010,46.0,58539,2020,45.0
39,131,"Pike County, Ohio",28709,2010,78.0,27088,2020,79.0
39,133,"Portage County, Ohio",161419,2010,19.0,161791,2020,19.0
39,135,"Preble County, Ohio",42270,2010,59.0,40999,2020,61.0
39,137,"Putnam County, Ohio",34499,2010,70.0,34451,2020,70.0
39,151,"Stark County, Ohio",375586,2010,7.0,374853,2020,8.0
39,141,"Ross County, Ohio",78064,2010,33.0,77093,2020,32.0
39,143,"Sandusky County, Ohio",60944,2010,42.0,58896,2020,43.0
39,145,"Scioto County, Ohio",79499,2010,32.0,74008,2020,35.0
39,147,"Seneca County, Ohio",56745,2010,45.0,55069,2020,47.0
39,149,"Shelby County, Ohio",49423,2010,50.0,48230,2020,50.0
39,153,"Summit County, Ohio",541781,2010,4.0,540428,2020,4.0
39,155,"Trumbull County, Ohio",210312,2010,13.0,201977,2020,15.0
39,161,"Van Wert County, Ohio",28744,2010,77.0,28931,2020,75.0
39,157,"Tuscarawas County, Ohio",92582,2010,30.0,93263,2020,30.0
39,159,"Union County, Ohio",52300,2010,49.0,62784,2020,39.0
39,163,"Vinton County, Ohio",13435,2010,88.0,12800,2020,88.0
39,165,"Warren County, Ohio",212693,2010,12.0,242337,2020,10.0
39,013,"Belmont County, Ohio",70400,2010,36.0,66497,2020,36.0
39,003,"Allen County, Ohio",106331,2010,26.0,102206,2020,26.0
39,001,"Adams County, Ohio",28550,2010,79.0,27477,2020,78.0
39,007,"Ashtabula County, Ohio",101497,2010,28.0,97574,2020,28.0
39,005,"Ashland County, Ohio",53139,2010,47.0,52447,2020,48.0
39,009,"Athens County, Ohio",64757,2010,39.0,62431,2020,41.0
39,015,"Brown County, Ohio",44846,2010,53.0,43676,2020,55.0
39,011,"Auglaize County, Ohio",45949,2010,51.0,46422,2020,51.0
39,017,"Butler County, Ohio",368130,2010,8.0,390357,2020,7.0
39,019,"Carroll County, Ohio",28836,2010,76.0,26721,2020,80.0
39,021,"Champaign County, Ohio",40097,2010,63.0,38714,2020,63.0
39,037,"Darke County, Ohio",52959,2010,48.0,51881,2020,49.0
39,023,"Clark County, Ohio",138333,2010,21.0,136001,2020,21.0
39,025,"Clermont County, Ohio",197363,2010,14.0,208601,2020,14.0
39,027,"Clinton County, Ohio",42040,2010,60.0,42018,2020,60.0
39,029,"Columbiana County, Ohio",107841,2010,25.0,101877,2020,27.0
39,031,"Coshocton County, Ohio",36901,2010,67.0,36612,2020,67.0
39,033,"Crawford County, Ohio",43784,2010,54.0,42025,2020,59.0
39,035,"Cuyahoga County, Ohio",1280122,2010,1.0,1264817,2020,2.0
39,049,"Franklin County, Ohio",1163414,2010,2.0,1323807,2020,1.0
39,039,"Defiance County, Ohio",39037,2010,65.0,38286,2020,65.0
39,041,"Delaware County, Ohio",174214,2010,15.0,214124,2020,13.0
39,043,"Erie County, Ohio",77079,2010,34.0,75622,2020,33.0
39,047,"Fayette County, Ohio",29030,2010,75.0,28951,2020,74.0
39,045,"Fairfield County, Ohio",146156,2010,20.0,158921,2020,20.0
39,051,"Fulton County, Ohio",42698,2010,57.0,42713,2020,57.0
39,053,"Gallia County, Ohio",30934,2010,73.0,29220,2020,73.0
39,055,"Geauga County, Ohio",93389,2010,29.0,95397,2020,29.0
39,083,"Knox County, Ohio",60921,2010,43.0,62721,2020,40.0
39,057,"Greene County, Ohio",161573,2010,18.0,167966,2020,18.0
39,059,"Guernsey County, Ohio",40087,2010,64.0,38438,2020,64.0
39,061,"Hamilton County, Ohio",802374,2010,3.0,830639,2020,3.0
39,063,"Hancock County, Ohio",74782,2010,35.0,74920,2020,34.0
39,065,"Hardin County, Ohio",32058,2010,72.0,30696,2020,72.0
39,067,"Harrison County, Ohio",15864,2010,84.0,14483,2020,84.0
39,069,"Henry County, Ohio",28215,2010,80.0,27662,2020,77.0
39,071,"Highland County, Ohio",43589,2010,55.0,43317,2020,56.0
39,073,"Hocking County, Ohio",29380,2010,74.0,28050,2020,76.0
39,075,"Holmes County, Ohio",42366,2010,58.0,44223,2020,53.0
39,077,"Huron County, Ohio",59626,2010,44.0,58565,2020,44.0
39,079,"Jackson County, Ohio",33225,2010,71.0,32653,2020,71.0
39,167,"Washington County, Ohio",61778,2010,41.0,59771,2020,42.0
39,169,"Wayne County, Ohio",114520,2010,24.0,116894,2020,24.0
39,171,"Williams County, Ohio",37642,2010,66.0,37102,2020,66.0
39,173,"Wood County, Ohio",125488,2010,22.0,132248,2020,22.0
39,175,"Wyandot County, Ohio",22615,2010,82.0,21900,2020,82.0
