,GEO_0,GEO_1,GEO_2,work_pop,agri,const,manuf,wholesale,retail,trnpwh,info,finance,prosrv,edu,accomm,othsrv,admin,agri_pct,const_pct,manuf_pct,wholesale_pct,retail_pct,trnpwh_pct,info_pct,finance_pct,prosrv_pct,edu_pct,accomm_pct,othsrv_pct,admin_pct
0,Ohio,,,5709399,51851,339983,838036,124660,635602,341966,77761,375015,584764,1387462,477205,247905,227189,0.00908169143547333,0.05954794891721528,0.14678182414646446,0.02183417203807266,0.11132555282964109,0.05989527093832468,0.013619822331562394,0.06568379614036433,0.10242128812507235,0.24301366921457057,0.08358235253833197,0.043420507132186766,0.039792104212720114
0,Ohio,Adams County,,10436,162,1016,1593,15,1477,898,40,200,466,2900,716,438,515,0.01552318896128785,0.09735530854733615,0.15264469145266385,0.0014373323112303565,0.1415293215791491,0.08604829436565734,0.0038328861632809506,0.019164430816404752,0.044653123802223076,0.27788424683786894,0.06860866232272901,0.04197010348792641,0.04934840935224224
1,Ohio,Allen County,,45895,500,2624,9994,919,5548,2813,522,1785,3147,10284,3790,2635,1334,0.010894432944765225,0.057173984094127904,0.21775792569996733,0.020023967752478482,0.12088462795511494,0.06129207974724916,0.011373787994334895,0.03889312561281185,0.06856956095435232,0.22407669680793116,0.0825798017213204,0.05741366161891274,0.02906634709663362
2,Ohio,Ashland County,,24524,557,1665,5653,423,2717,1403,397,687,1984,4815,1781,1330,1112,0.02271244495188387,0.06789267656173545,0.23050888925134563,0.017248409721089545,0.11078943076170282,0.05720926439406296,0.01618822378078617,0.02801337465340075,0.08090034252161148,0.19633828086772143,0.07262273691078128,0.054232588484749635,0.04534333713912902
3,Ohio,Ashtabula County,,41840,639,2983,9596,905,4919,2632,469,1779,2336,8840,3813,1530,1399,0.01527246653919694,0.07129541108986616,0.22934990439770556,0.02163001912045889,0.11756692160611855,0.06290630975143403,0.011209369024856596,0.042519120458891016,0.05583173996175908,0.2112810707456979,0.09113288718929255,0.0365678776290631,0.033436902485659656
4,Ohio,Athens County,,28748,258,1242,2569,586,2712,1294,253,768,1793,11251,4057,1061,904,0.008974537359120634,0.04320300542646445,0.08936273827744538,0.020384026714901905,0.09433699735633783,0.045011826909698065,0.008800612216502017,0.026714901906219564,0.062369556143036034,0.39136635592041186,0.14112286072074579,0.036906915263670514,0.03144566578544594
5,Ohio,Auglaize County,,23420,479,1168,7845,299,1909,881,248,724,1523,4877,1309,1175,983,0.02045260461144321,0.04987190435525192,0.3349701110162254,0.012766865926558497,0.08151152860802732,0.03761742100768574,0.01058923996584116,0.030913748932536293,0.06502988898377456,0.2082408198121264,0.05589239965841161,0.050170794192997435,0.04197267292912041
6,Ohio,Belmont County,,28159,1465,1917,2375,752,4368,1761,339,1497,1929,6987,2219,1245,1305,0.052025995241308284,0.06807770162292695,0.08434248375297418,0.026705493803046983,0.15511914485599632,0.06253773216378422,0.012038779786214,0.05316239923292731,0.06850385311978409,0.2481267090450655,0.07880251429383146,0.04421321779892752,0.046343975283213185
7,Ohio,Brown County,,19053,492,1622,2761,258,2211,1540,128,1060,1730,4043,1513,905,790,0.025822705085813257,0.08513095050648192,0.14491156248359838,0.013541174618170367,0.11604471736734373,0.08082716632551304,0.006718102136146539,0.05563428331496352,0.09079934918385556,0.21219755419094105,0.07941006665616963,0.04749908150947357,0.04146328662152942
8,Ohio,Butler County,,189257,923,11499,30446,4153,23210,11318,2199,13748,18438,42399,18050,7448,5426,0.004876966241671378,0.06075865093497202,0.16087119630977983,0.021943706177314445,0.12263747179760855,0.05980227944012639,0.011619121089312416,0.07264196304496003,0.0974230807843303,0.2240287017124862,0.09537295846388773,0.03935389443983578,0.02867000956371495
9,Ohio,Carroll County,,11368,635,1104,2365,276,1108,536,49,389,967,2481,626,492,340,0.0558585503166784,0.09711470795214637,0.20804011259676283,0.024278676988036593,0.09746657283603097,0.047149894440534836,0.004310344827586207,0.03421885995777622,0.08506333567909923,0.2182441942294159,0.05506685432793807,0.043279380717804364,0.029908515130190008
10,Ohio,Champaign County,,18862,730,1181,4849,297,1927,1172,208,599,1296,3745,1039,985,834,0.038702152475877424,0.06261266037535786,0.2570777224048351,0.01574594422648712,0.10216307920687095,0.0621355105503128,0.011027462623263705,0.03175697168911038,0.06870957480648923,0.19854734386597392,0.05508429646909129,0.05222139751882091,0.04421588378750928
11,Ohio,Clark County,,59067,718,3778,10221,1655,6378,3752,540,2821,5326,13421,4710,2728,3019,0.012155687608986405,0.06396126432695075,0.17304078419422012,0.028019029237983984,0.10797907461018844,0.06352108622411837,0.009142160597287825,0.047759324157312884,0.09016879137250919,0.2272165506966665,0.07973995632078826,0.04618484094333553,0.05111144970965175
12,Ohio,Clermont County,,105042,560,7508,15306,2273,13544,6167,1040,8409,11841,21836,8232,5251,3075,0.0053312008529921365,0.07147617143618742,0.14571314331410293,0.021638963462234154,0.1289389006302241,0.0587098493935759,0.009900801584128253,0.08005369280859084,0.11272633803621408,0.2078787532606005,0.07836865253898441,0.04998952799832448,0.02927400468384075
13,Ohio,Clinton County,,19924,510,1341,3536,357,2380,2042,92,860,1671,4380,1191,783,781,0.025597269624573378,0.06730576189520177,0.17747440273037543,0.017918088737201365,0.11945392491467577,0.10248945994780165,0.004617546677374022,0.043164023288496285,0.08386870106404337,0.21983537442280668,0.05977715318209195,0.03929933748243325,0.039198956032925114
14,Ohio,Columbiana County,,45460,934,3092,8300,830,4182,3499,547,1464,2930,10781,4990,2310,1601,0.020545534535855697,0.06801583809942807,0.1825780906291245,0.01825780906291245,0.09199296084469864,0.0769687637483502,0.012032556093268807,0.03220413550373955,0.06445226572811262,0.237153541575011,0.10976682798064233,0.050813902331720194,0.03521777386713594
15,Ohio,Coshocton County,,15649,307,1114,3711,364,1979,1041,169,585,793,3001,1170,952,463,0.019617866956355038,0.07118665729439581,0.2371397533388715,0.02326027222186721,0.12646175474471213,0.06652182248066969,0.010799412103009777,0.037382580356572305,0.050674164483353566,0.19176944213687774,0.07476516071314461,0.060834558118729634,0.029586555051440987
16,Ohio,Crawford County,,19550,441,1202,4745,209,2059,772,146,1240,1720,3978,1300,833,905,0.022557544757033247,0.06148337595907928,0.24271099744245525,0.010690537084398977,0.10531969309462916,0.03948849104859335,0.007468030690537085,0.06342710997442455,0.08797953964194373,0.20347826086956522,0.06649616368286446,0.042608695652173914,0.04629156010230179
17,Ohio,Cuyahoga County,,607460,1173,27517,71562,13983,63114,34701,8844,49757,72827,162685,51667,26232,23398,0.0019309913409936456,0.045298455865406775,0.11780528759095249,0.023018799591742665,0.10389819905837422,0.057124748954663684,0.014558983307542883,0.08190991999473217,0.11988772923320054,0.2678118723866592,0.08505415994468772,0.04318309024462516,0.03851776248641886
18,Ohio,Darke County,,23907,1019,1939,6039,551,2603,1332,249,875,1628,4395,1216,1273,788,0.04262349939348308,0.08110595223156397,0.25260383987953317,0.023047642949763667,0.10888024427991802,0.05571589910904756,0.010415359518132765,0.036600158949261725,0.06809721002216924,0.18383736980800602,0.05086376375120258,0.0532480026770402,0.03296105743087799
19,Ohio,Defiance County,,18432,306,1228,4490,306,2517,1096,165,1049,1172,3398,1087,923,695,0.0166015625,0.0666232638888889,0.2435980902777778,0.0166015625,0.13655598958333334,0.05946180555555555,0.008951822916666666,0.05691189236111111,0.06358506944444445,0.1843532986111111,0.05897352430555555,0.05007595486111111,0.03770616319444445
20,Ohio,Delaware County,,120222,658,5141,11038,2486,11515,4921,2396,15947,18074,29607,8946,4498,4995,0.0054732078987207,0.042762555938181034,0.09181347839829648,0.020678411605197053,0.09578113822761225,0.04093260800851758,0.019929796543062,0.13264627106519605,0.15033854036698774,0.246269401607027,0.07441233717622399,0.03741411721648284,0.04154813594849528
21,Ohio,Erie County,,36044,634,1696,6623,737,3972,1600,403,1614,2266,8689,4667,1679,1464,0.017589612695594274,0.04705360115414493,0.18374764177116856,0.02044723116191322,0.11019864609921208,0.04439018976806126,0.011180779047830429,0.04477860392853179,0.06286760625901676,0.24106647430917766,0.1294806347797137,0.04658195538785928,0.04061702363777605
22,Ohio,Fairfield County,,79428,495,6565,6950,1849,9100,5997,1117,6675,7653,19110,6004,3186,4727,0.006232059223447651,0.08265347232713904,0.08750062950093167,0.02327894445283779,0.11456916956237095,0.07550234174346578,0.014063050813315204,0.08403837437679408,0.09635141260009064,0.240595256080979,0.07559047187389838,0.04011179936546306,0.05951301807926676
23,Ohio,Fayette County,,12966,468,1313,2500,135,1454,1026,167,342,750,2637,854,504,816,0.036094400740397964,0.10126484652167207,0.19281196976708315,0.010411846367422489,0.11213944161653555,0.07913003239241093,0.012879839580441154,0.026376677464136973,0.05784359093012494,0.2033780657103193,0.0658645688724356,0.03887089310504396,0.06293382693197594
24,Ohio,Franklin County,,699297,1959,34087,51986,15421,78038,54945,12188,64470,90823,175996,61124,27766,30494,0.002801384819325694,0.048744667859292976,0.07434037326057455,0.02205214665585581,0.11159493033718149,0.07857176564464026,0.017428932199051332,0.09219258769878892,0.12987757705238262,0.25167561136398414,0.08740778238716883,0.03970559004257133,0.043606650679182096
25,Ohio,Fulton County,,20586,470,1583,4388,576,2156,1200,138,728,1383,4476,1448,1111,929,0.0228310502283105,0.07689692023705431,0.21315457106771593,0.027980180705333722,0.10473137083454775,0.05829204313611192,0.006703584960652871,0.035363839502574566,0.06718157971436899,0.21742932089769745,0.07033906538424171,0.05396871660351695,0.045127756727873315
26,Ohio,Gallia County,,11729,163,807,1591,135,1095,991,107,461,463,4046,888,436,546,0.013897177935032824,0.06880381959246312,0.13564668769716087,0.011509932645579334,0.09335834256969903,0.08449143149458607,0.009122687356125841,0.039304288515644985,0.03947480603632023,0.3449569443260295,0.07570977917981073,0.037172819507204365,0.04655128314434308
27,Ohio,Geauga County,,47699,402,5268,7640,1071,4879,1902,629,3518,5879,10238,2804,2044,1425,0.008427849640453679,0.11044256693012432,0.16017107276882114,0.022453300907775843,0.10228725969097885,0.03987504979140024,0.013186859263296925,0.07375416675402,0.12325205979160989,0.2146376234302606,0.058785299482169436,0.042852051405689845,0.029874840143399233
28,Ohio,Greene County,,81433,585,4267,8768,1174,8446,3644,1197,4092,10443,20762,6707,3361,7987,0.007183819827342723,0.05239890462097675,0.1076713371728906,0.01441675979025702,0.10371716625937888,0.044748443505704075,0.014699200569793573,0.050249898689720386,0.1282403939434873,0.2549580636842558,0.082362187319637,0.041273193914015203,0.09808063070254074
29,Ohio,Guernsey County,,16639,929,1223,2643,310,2074,1069,109,427,969,4076,1621,659,530,0.05583268225253921,0.07350201334214797,0.158843680509646,0.018630927339383378,0.12464691387703589,0.0642466494380672,0.006550874451589639,0.02566259991586033,0.05823667287697578,0.24496664463008594,0.09742172005529179,0.039605745537592406,0.031852875773784484
30,Ohio,Hamilton County,,415153,711,19876,48698,8425,43735,23291,6869,33193,58557,104629,36787,17520,12862,0.0017126216117913154,0.04787632511387368,0.11730133227990644,0.020293723037048992,0.10534670350449112,0.05610220810159146,0.016545707245280657,0.07995365564020976,0.14104920354664424,0.2520251569903144,0.08861070496901143,0.042201308915026506,0.030981349044809987
31,Ohio,Hancock County,,37514,414,2088,8699,801,4195,2708,387,1069,2987,7441,2945,2530,1250,0.01103587993815642,0.05565922055765848,0.23188676227541719,0.021352028575998293,0.11182491869701978,0.07218638375006664,0.010316148637841872,0.028496028149490857,0.07962360718665032,0.19835261502372448,0.0785040251639388,0.06744148851095591,0.033320893533080986
32,Ohio,Hardin County,,14287,410,835,3774,194,1439,629,107,520,1008,3205,1069,566,531,0.02869741723244908,0.058444739973402396,0.2641562259396654,0.0135787779099881,0.10072093511583957,0.0440260376566109,0.007489325960663541,0.036396724294813464,0.07055365017148457,0.22432981031707147,0.07482326590606846,0.03961643452089312,0.0371666550010499
33,Ohio,Harrison County,,5681,265,418,788,172,643,486,59,104,403,1649,230,208,256,0.04664671712726633,0.07357859531772576,0.13870797394824855,0.030276359795810597,0.11318429853898962,0.08554831895792994,0.010385495511353635,0.018306636155606407,0.07093821510297482,0.2902657982749516,0.04048582995951417,0.036613272311212815,0.04506248899841577
