,GEO_0,GEO_1,GEO_2,workers_tot,drive_alone_pct,carpool_pct,pub_trans_pct,walk_pct,bike_pct,taxi_moto_pct,wfh_pct,mean_travel_time
0,Ohio,,,5608273,75.1,7.5,1.0,2.0,0.3,1.2,13.0,23.4
0,Ohio,Adams County,,10260,84.6,7.8,0.2,1.2,0.1,0.8,5.3,36.4
1,Ohio,Allen County,,44960,82.8,8.9,0.4,1.2,0.4,1.5,4.8,18.7
2,Ohio,Ashland County,,24095,80.6,8.5,0.1,2.6,0.4,1.4,6.5,23.9
3,Ohio,Ashtabula County,,41002,78.2,11.0,0.4,1.3,0.2,3.2,5.8,27.0
4,Ohio,Athens County,,27582,65.2,9.7,0.7,9.9,0.7,0.6,13.1,24.1
5,Ohio,Auglaize County,,23118,84.3,6.4,0.0,2.0,0.5,1.0,5.9,18.8
6,Ohio,Belmont County,,27830,83.9,6.7,0.1,1.8,0.0,0.5,6.9,25.1
7,Ohio,Brown County,,18638,81.8,10.0,0.5,0.3,0.1,0.9,6.5,33.9
8,Ohio,Butler County,,185991,75.1,8.1,0.3,1.7,0.3,1.0,13.3,24.3
9,Ohio,Carroll County,,11062,75.6,9.2,0.1,3.6,0.2,3.4,7.9,31.5
10,Ohio,Champaign County,,18327,81.0,7.5,0.1,1.7,0.1,1.2,8.4,27.1
11,Ohio,Clark County,,58288,78.5,8.8,0.3,1.9,0.2,0.6,9.6,23.1
12,Ohio,Clermont County,,103417,78.0,6.4,0.3,0.8,0.1,0.8,13.6,28.1
13,Ohio,Clinton County,,19431,80.1,7.6,0.2,2.7,0.0,1.6,7.8,24.6
14,Ohio,Columbiana County,,45027,80.5,9.6,0.2,2.1,0.7,0.9,6.2,24.6
15,Ohio,Coshocton County,,15456,71.7,12.2,0.3,1.6,2.4,4.9,6.9,24.8
16,Ohio,Crawford County,,19211,82.2,6.7,0.0,2.1,0.5,1.8,6.7,23.9
17,Ohio,Cuyahoga County,,594968,69.7,7.3,3.0,2.7,0.3,1.5,15.5,23.3
18,Ohio,Darke County,,23638,81.7,9.5,0.2,1.9,0.1,1.0,5.6,23.0
19,Ohio,Defiance County,,18212,83.7,7.7,0.0,1.4,0.1,1.2,6.0,19.8
20,Ohio,Delaware County,,118286,67.9,4.2,0.1,1.3,0.1,0.5,25.9,25.4
21,Ohio,Erie County,,35474,80.0,8.7,2.5,1.7,0.1,1.0,6.0,21.5
22,Ohio,Fairfield County,,78382,76.3,6.7,0.2,1.1,0.2,1.1,14.5,28.0
23,Ohio,Fayette County,,12852,82.8,9.6,0.5,1.3,0.0,0.3,5.5,27.0
24,Ohio,Franklin County,,686735,68.4,7.1,1.6,2.1,0.4,1.2,19.3,21.5
25,Ohio,Fulton County,,20321,87.4,4.5,0.4,1.7,0.1,0.5,5.3,24.1
26,Ohio,Gallia County,,11575,79.5,9.0,0.8,1.7,0.0,1.0,8.0,25.4
27,Ohio,Geauga County,,47058,69.8,10.0,0.6,1.3,0.1,1.5,16.7,27.0
28,Ohio,Greene County,,82491,75.8,7.6,0.3,2.5,0.4,0.6,12.9,22.0
29,Ohio,Guernsey County,,16383,82.4,11.1,0.0,0.7,0.0,1.7,4.0,22.9
30,Ohio,Hamilton County,,408182,70.8,7.0,2.5,2.7,0.2,1.6,15.3,22.8
31,Ohio,Hancock County,,36946,78.6,8.1,0.1,2.0,0.3,1.2,9.7,18.0
32,Ohio,Hardin County,,13919,81.4,7.5,0.0,4.8,0.2,1.2,4.8,23.6
33,Ohio,Harrison County,,5628,83.1,6.4,0.0,2.1,0.0,1.8,6.6,29.4
34,Ohio,Henry County,,13330,85.2,7.2,0.2,0.9,0.2,0.5,5.8,23.7
35,Ohio,Highland County,,19581,80.2,10.8,0.1,1.2,0.4,0.9,6.5,29.1
36,Ohio,Hocking County,,12049,83.7,7.5,0.0,0.9,0.0,1.0,6.9,30.3
37,Ohio,Holmes County,,20065,47.8,19.8,0.4,6.9,14.0,3.1,8.0,20.9
38,Ohio,Huron County,,26776,81.9,9.0,0.4,2.1,0.5,0.7,5.4,22.4
39,Ohio,Jackson County,,13671,81.0,9.1,0.2,2.6,0.3,0.8,6.0,29.4
40,Ohio,Jefferson County,,27752,80.7,6.2,0.3,3.6,0.0,0.5,8.7,23.8
41,Ohio,Knox County,,28827,73.8,6.9,0.2,4.0,0.1,1.2,13.7,25.7
42,Ohio,Lake County,,120047,76.5,7.3,0.5,1.1,0.2,0.8,13.6,23.1
43,Ohio,Lawrence County,,23493,84.4,7.7,0.0,1.4,0.2,1.1,5.2,23.2
44,Ohio,Licking County,,87330,72.5,7.7,0.2,2.2,0.2,1.4,15.8,26.6
45,Ohio,Logan County,,20679,77.9,10.3,0.2,1.2,0.0,1.4,8.9,21.8
46,Ohio,Lorain County,,147177,77.9,7.5,0.2,1.5,0.2,1.1,11.7,25.4
47,Ohio,Lucas County,,195978,78.6,8.9,0.8,1.6,0.2,1.0,8.9,20.5
48,Ohio,Madison County,,20433,75.3,7.6,0.2,1.1,0.0,0.6,15.2,24.9
49,Ohio,Mahoning County,,97976,78.9,7.2,1.2,1.4,0.1,1.4,9.8,22.5
50,Ohio,Marion County,,25885,82.3,8.6,0.7,0.9,0.2,1.0,6.2,24.5
51,Ohio,Medina County,,95086,76.0,6.4,0.1,1.0,0.0,1.1,15.3,26.5
