STATE,COUNTY,NAME,pop_total_sf1,year_sf1,rank_sf1,pop_total_dhc,year_dhc,rank_dhc
47,179,"Washington County, Tennessee",122979,2010,11.0,133001,2020,12.0
47,187,"Williamson County, Tennessee",183182,2010,6.0,247726,2020,6.0
47,181,"Wayne County, Tennessee",17021,2010,74.0,16232,2020,75.0
47,183,"Weakley County, Tennessee",35021,2010,43.0,32902,2020,45.0
47,189,"Wilson County, Tennessee",113993,2010,12.0,147737,2020,10.0
47,057,"Grainger County, Tennessee",22657,2010,60.0,23527,2020,61.0
47,065,"Hamilton County, Tennessee",336463,2010,4.0,366207,2020,4.0
47,073,"Hawkins County, Tennessee",56833,2010,24.0,56721,2020,25.0
47,075,"Haywood County, Tennessee",18787,2010,67.0,17864,2020,72.0
47,095,"Lake County, Tennessee",7832,2010,91.0,7005,2020,91.0
47,081,"Hickman County, Tennessee",24690,2010,59.0,24925,2020,60.0
47,083,"Houston County, Tennessee",8426,2010,87.0,8283,2020,89.0
47,085,"Humphreys County, Tennessee",18538,2010,69.0,18990,2020,68.0
47,087,"Jackson County, Tennessee",11638,2010,86.0,11617,2020,85.0
47,089,"Jefferson County, Tennessee",51407,2010,29.0,54683,2020,28.0
47,091,"Johnson County, Tennessee",18244,2010,71.0,17948,2020,70.0
47,093,"Knox County, Tennessee",432226,2010,3.0,478971,2020,3.0
47,071,"Hardin County, Tennessee",26026,2010,57.0,26831,2020,55.0
47,079,"Henry County, Tennessee",32330,2010,45.0,32199,2020,47.0
47,117,"Marshall County, Tennessee",30617,2010,49.0,34318,2020,44.0
47,097,"Lauderdale County, Tennessee",27815,2010,53.0,25143,2020,59.0
47,099,"Lawrence County, Tennessee",41869,2010,35.0,44159,2020,35.0
47,101,"Lewis County, Tennessee",12161,2010,83.0,12582,2020,84.0
47,103,"Lincoln County, Tennessee",33361,2010,44.0,35319,2020,43.0
47,105,"Loudon County, Tennessee",48556,2010,32.0,54886,2020,27.0
47,107,"McMinn County, Tennessee",52266,2010,28.0,53276,2020,31.0
47,111,"Macon County, Tennessee",22248,2010,61.0,25216,2020,58.0
47,109,"McNairy County, Tennessee",26075,2010,56.0,25866,2020,56.0
47,113,"Madison County, Tennessee",98294,2010,14.0,98823,2020,15.0
47,115,"Marion County, Tennessee",28237,2010,52.0,28837,2020,51.0
47,129,"Morgan County, Tennessee",21987,2010,64.0,21035,2020,64.0
47,119,"Maury County, Tennessee",80956,2010,16.0,100974,2020,14.0
47,121,"Meigs County, Tennessee",11753,2010,85.0,12758,2020,83.0
47,123,"Monroe County, Tennessee",44519,2010,34.0,46250,2020,34.0
47,125,"Montgomery County, Tennessee",172331,2010,7.0,220069,2020,7.0
47,127,"Moore County, Tennessee",6362,2010,93.0,6461,2020,93.0
47,151,"Scott County, Tennessee",22228,2010,62.0,21850,2020,63.0
47,131,"Obion County, Tennessee",31807,2010,48.0,30787,2020,49.0
47,133,"Overton County, Tennessee",22083,2010,63.0,22511,2020,62.0
47,135,"Perry County, Tennessee",7915,2010,88.0,8366,2020,88.0
47,137,"Pickett County, Tennessee",5077,2010,95.0,5001,2020,95.0
47,139,"Polk County, Tennessee",16825,2010,75.0,17544,2020,73.0
47,141,"Putnam County, Tennessee",72321,2010,18.0,79854,2020,17.0
47,143,"Rhea County, Tennessee",31809,2010,47.0,32870,2020,46.0
47,145,"Roane County, Tennessee",54181,2010,26.0,53404,2020,30.0
47,149,"Rutherford County, Tennessee",262604,2010,5.0,341486,2020,5.0
47,147,"Robertson County, Tennessee",66283,2010,20.0,72803,2020,19.0
47,163,"Sullivan County, Tennessee",156823,2010,9.0,158163,2020,9.0
47,153,"Sequatchie County, Tennessee",14112,2010,78.0,15826,2020,77.0
47,155,"Sevier County, Tennessee",89889,2010,15.0,98380,2020,16.0
47,157,"Shelby County, Tennessee",927644,2010,1.0,929744,2020,1.0
47,159,"Smith County, Tennessee",19166,2010,65.0,19904,2020,66.0
47,161,"Stewart County, Tennessee",13324,2010,81.0,13657,2020,81.0
47,175,"Van Buren County, Tennessee",5548,2010,94.0,6168,2020,94.0
47,177,"Warren County, Tennessee",39839,2010,38.0,40953,2020,39.0
47,185,"White County, Tennessee",25841,2010,58.0,27351,2020,54.0
47,165,"Sumner County, Tennessee",160645,2010,8.0,196281,2020,8.0
47,167,"Tipton County, Tennessee",61081,2010,22.0,60970,2020,23.0
47,169,"Trousdale County, Tennessee",7870,2010,89.0,11615,2020,86.0
47,171,"Unicoi County, Tennessee",18313,2010,70.0,17928,2020,71.0
47,173,"Union County, Tennessee",19109,2010,66.0,19802,2020,67.0
47,021,"Cheatham County, Tennessee",39105,2010,39.0,41072,2020,38.0
47,007,"Bledsoe County, Tennessee",12876,2010,82.0,14913,2020,78.0
47,009,"Blount County, Tennessee",123010,2010,10.0,135280,2020,11.0
47,011,"Bradley County, Tennessee",98963,2010,13.0,108620,2020,13.0
47,019,"Carter County, Tennessee",57424,2010,23.0,56356,2020,26.0
47,017,"Carroll County, Tennessee",28522,2010,51.0,28440,2020,52.0
47,001,"Anderson County, Tennessee",75129,2010,17.0,77123,2020,18.0
47,003,"Bedford County, Tennessee",45058,2010,33.0,50237,2020,33.0
47,005,"Benton County, Tennessee",16489,2010,76.0,15864,2020,76.0
47,013,"Campbell County, Tennessee",40716,2010,37.0,39272,2020,40.0
47,015,"Cannon County, Tennessee",13801,2010,79.0,14506,2020,79.0
47,033,"Crockett County, Tennessee",14586,2010,77.0,13911,2020,80.0
47,023,"Chester County, Tennessee",17131,2010,73.0,17341,2020,74.0
47,025,"Claiborne County, Tennessee",32213,2010,46.0,32043,2020,48.0
47,027,"Clay County, Tennessee",7861,2010,90.0,7581,2020,90.0
47,029,"Cocke County, Tennessee",35662,2010,42.0,35999,2020,42.0
47,031,"Coffee County, Tennessee",52796,2010,27.0,57889,2020,24.0
47,045,"Dyer County, Tennessee",38335,2010,41.0,36801,2020,41.0
47,035,"Cumberland County, Tennessee",56053,2010,25.0,61145,2020,22.0
47,037,"Davidson County, Tennessee",626681,2010,2.0,715884,2020,2.0
47,039,"Decatur County, Tennessee",11757,2010,84.0,11435,2020,87.0
47,041,"DeKalb County, Tennessee",18723,2010,68.0,20080,2020,65.0
47,043,"Dickson County, Tennessee",49666,2010,31.0,54315,2020,29.0
47,047,"Fayette County, Tennessee",38413,2010,40.0,41990,2020,37.0
47,049,"Fentress County, Tennessee",17959,2010,72.0,18489,2020,69.0
47,051,"Franklin County, Tennessee",41052,2010,36.0,42774,2020,36.0
47,053,"Gibson County, Tennessee",49683,2010,30.0,50429,2020,32.0
47,055,"Giles County, Tennessee",29485,2010,50.0,30346,2020,50.0
47,059,"Greene County, Tennessee",68831,2010,19.0,70152,2020,20.0
47,061,"Grundy County, Tennessee",13703,2010,80.0,13529,2020,82.0
47,063,"Hamblen County, Tennessee",62544,2010,21.0,64499,2020,21.0
47,067,"Hancock County, Tennessee",6819,2010,92.0,6662,2020,92.0
47,069,"Hardeman County, Tennessee",27253,2010,55.0,25462,2020,57.0
47,077,"Henderson County, Tennessee",27769,2010,54.0,27842,2020,53.0
