fips5,Location,1950,1960,1970,1980,1990,2000,2010,2020,2030,2040,2050,1950_PctChg,1960_PctChg,1970_PctChg,1980_PctChg,1990_PctChg,2000_PctChg,2010_PctChg,2020_PctChg,2030_PctChg,2040_PctChg,2050_PctChg
47001,Anderson County,59407.0,60032.0,60300.0,67346.0,68250.0,71330.0,75117.0,76513.0,82687.0,85226.0,87881.0,,0.0105,0.0045,0.1168,0.0134,0.0451,0.0531,0.0186,0.0807,0.0307,0.0312
47003,Bedford County,23627.0,23150.0,25039.0,27916.0,30411.0,37586.0,46516.0,48937.0,57365.0,64276.0,71948.0,,-0.0202,0.0816,0.1149,0.0894,0.2359,0.2376,0.052,0.1722,0.1205,0.1194
47005,Benton County,11495.0,10662.0,12126.0,14901.0,14524.0,16537.0,16064.0,16133.0,15453.0,14551.0,13792.0,,-0.0725,0.1373,0.2288,-0.0253,0.1386,-0.0286,0.0043,-0.0421,-0.0584,-0.0522
47007,Bledsoe County,8561.0,7811.0,7643.0,9478.0,9669.0,12367.0,12878.0,14961.0,15800.0,16460.0,16684.0,,-0.0876,-0.0215,0.2401,0.0202,0.279,0.0413,0.1617,0.0561,0.0418,0.0136
47009,Blount County,54691.0,57525.0,63744.0,77770.0,85969.0,105823.0,123070.0,131641.0,150249.0,158326.0,165360.0,,0.0518,0.1081,0.22,0.1054,0.2309,0.163,0.0696,0.1414,0.0538,0.0444
47011,Bradley County,32338.0,38324.0,50686.0,67547.0,73712.0,87965.0,98523.0,106924.0,118555.0,126026.0,133204.0,,0.1851,0.3226,0.3327,0.0913,0.1934,0.12,0.0853,0.1088,0.063,0.057
47013,Campbell County,34369.0,27936.0,26045.0,34923.0,35079.0,39854.0,40892.0,39818.0,38764.0,36940.0,35088.0,,-0.1872,-0.0677,0.3409,0.0045,0.1361,0.026,-0.0263,-0.0265,-0.0471,-0.0501
47015,Cannon County,9174.0,8537.0,8467.0,10234.0,10467.0,12826.0,13815.0,14374.0,15393.0,15542.0,15537.0,,-0.0694,-0.0082,0.2087,0.0228,0.2254,0.0771,0.0405,0.0709,0.0097,-0.0003
47017,Carroll County,26553.0,23476.0,25741.0,28285.0,27514.0,29475.0,28571.0,27841.0,28531.0,28200.0,28019.0,,-0.1159,0.0965,0.0988,-0.0273,0.0713,-0.0307,-0.0256,0.0248,-0.0116,-0.0064
47019,Carter County,42432.0,41578.0,42575.0,50205.0,51505.0,56742.0,58829.0,56452.0,54341.0,51141.0,47943.0,,-0.0201,0.024,0.1792,0.0259,0.1017,0.0368,-0.0404,-0.0374,-0.0589,-0.0625
