,GEO_0,GEO_1,GEO_2,hu_tot,hu_occ,hu_vacant,1u_detached,1u_attached,2u,3_4u,5_9u,10_19u,20_plusu,mobile_home,boat_rv_van,owner_occ,renter_occ,owner_median_value,renter_median_rent,hu_0_veh,hu_1_veh,hu_2_veh,hu_3plus_veh,0_veh_pct,1_veh_pct,2_veh_pct,3plus_veh_pct
0,Tennessee,,,3143670,2824277,319393,2145674,120244,77047,97610,136863,117192,188684,254372,5984,1890569,933708,286700.0,1189.0,147219,873114,1072153,731791,0.05212626098644007,0.3091460221500936,0.3796203417724253,0.259107375091041
0,Tennessee,Anderson County,,35880,32755,3125,25705,1015,448,1012,994,1356,1645,3654,51,23484,9271,239400.0,1031.0,1836,10044,11510,9365,0.05605251106701267,0.30664020760189287,0.3513967333231568,0.2859105480079377
1,Tennessee,Bedford County,,20488,19505,983,15654,235,602,261,670,424,335,2264,43,14017,5488,281200.0,1051.0,582,4833,7074,7016,0.029838502947962062,0.2477826198410664,0.362676236862343,0.35970264034862853
2,Tennessee,Benton County,,8569,7121,1448,6047,93,26,37,66,20,71,2209,0,5351,1770,153600.0,768.0,385,2059,2977,1700,0.0540654402471563,0.2891447830360904,0.4180592613396995,0.23873051537705378
3,Tennessee,Bledsoe County,,5912,4858,1054,3955,26,25,78,119,55,4,1600,50,4008,850,189400.0,830.0,248,1137,1692,1781,0.05104981473857555,0.23404693289419515,0.34829147797447507,0.3666117743927542
4,Tennessee,Blount County,,61850,55522,6328,47723,954,663,1205,1817,1229,1739,6444,76,42744,12778,320500.0,1090.0,1506,14701,22113,17202,0.027124383127408953,0.2647779258672238,0.3982745578329311,0.30982313317243615
5,Tennessee,Bradley County,,45949,42596,3353,31892,1271,2062,2618,1527,955,1437,4028,159,28650,13946,261900.0,1030.0,2256,11612,15674,13054,0.052962719504178794,0.27260775659686354,0.36796882336369613,0.30646070053526153
6,Tennessee,Campbell County,,20559,17186,3373,14809,241,375,726,761,201,383,3023,40,11893,5293,186500.0,716.0,986,5656,5513,5031,0.05737227976259746,0.32910508553473755,0.3207843593622716,0.2927382753403933
7,Tennessee,Cannon County,,6453,5776,677,5133,43,77,64,54,12,18,1052,0,4527,1249,252000.0,908.0,267,1333,1910,2266,0.04622576177285319,0.2307825484764543,0.3306786703601108,0.3923130193905817
8,Tennessee,Carroll County,,13100,11541,1559,9652,75,382,403,237,23,165,2157,6,8603,2938,142400.0,755.0,629,3312,4178,3422,0.054501343037865004,0.2869768650896803,0.36201369032146263,0.2965081015509921
9,Tennessee,Carter County,,28118,24425,3693,18955,376,430,1187,1226,503,206,5171,64,18366,6059,168200.0,739.0,1123,7573,8733,6996,0.04597748208802457,0.31005117707267144,0.35754350051177075,0.28642784032753327
10,Tennessee,Cheatham County,,17449,16279,1170,13998,341,68,163,181,364,515,1764,55,13273,3006,338700.0,1345.0,323,3311,6602,6043,0.019841513606486887,0.20339087167516431,0.40555316665642854,0.3712144480619203
11,Tennessee,Chester County,,7279,6430,849,5753,41,300,57,82,29,20,955,42,4850,1580,164400.0,756.0,201,1651,2582,1996,0.031259720062208396,0.2567651632970451,0.4015552099533437,0.3104199066874028
12,Tennessee,Claiborne County,,15512,13724,1788,10434,309,511,127,157,189,84,3587,114,9906,3818,159900.0,745.0,555,4237,4872,4060,0.04044010492567764,0.30872923345963277,0.3549985426989216,0.295832118915768
13,Tennessee,Clay County,,4005,3486,519,2448,0,31,149,122,67,10,1162,16,2593,893,136400.0,557.0,235,1115,1113,1023,0.06741250717154332,0.3198508318990247,0.3192771084337349,0.29345955249569705
14,Tennessee,Cocke County,,17957,15509,2448,11268,51,512,415,287,87,47,5085,205,11558,3951,158100.0,798.0,683,4583,5906,4337,0.04403894512863499,0.29550583532142627,0.38081114191759624,0.2796440776323425
15,Tennessee,Coffee County,,25467,23097,2370,18244,498,982,524,1045,296,491,3333,54,15937,7160,246800.0,913.0,964,6257,9611,6265,0.04173702212408538,0.27090098281162056,0.4161146469238429,0.27124734814045115
16,Tennessee,Crockett County,,6134,5508,626,4830,76,222,47,112,11,49,777,10,3945,1563,158900.0,857.0,398,1486,2120,1504,0.07225853304284677,0.26978939724037765,0.3848946986201888,0.2730573710965868
17,Tennessee,Cumberland County,,31455,28195,3260,23372,813,605,967,601,351,424,4090,232,22614,5581,250500.0,839.0,1380,7781,12581,6453,0.048944848377371876,0.27597091682922503,0.44621386770704025,0.22887036708636282
18,Tennessee,Davidson County,,357113,324907,32206,176279,32704,12228,11367,21664,28841,68742,4965,323,171526,153381,417400.0,1582.0,21243,130612,118890,54162,0.06538178617265863,0.4019981102284654,0.3659200940576842,0.1667000095411918
19,Tennessee,Decatur County,,6591,4568,2023,4872,11,95,76,67,0,26,1385,59,3396,1172,139600.0,757.0,260,1194,1753,1361,0.05691768826619965,0.2613835376532399,0.3837565674255692,0.29794220665499127
