,GEO_0,GEO_1,GEO_2,workers_tot,drive_alone_pct,carpool_pct,pub_trans_pct,walk_pct,bike_pct,taxi_moto_pct,wfh_pct,mean_travel_time
0,Tennessee,,,3314309,75.8,8.4,0.4,1.2,0.1,1.2,12.9,25.7
0,Tennessee,Anderson County,,35374,76.8,8.4,0.1,0.8,0.1,0.7,13.1,24.5
1,Tennessee,Bedford County,,24357,74.8,13.3,0.0,0.6,0.0,0.9,10.5,28.4
2,Tennessee,Benton County,,6069,82.9,4.7,0.0,1.5,0.0,5.0,5.9,26.5
3,Tennessee,Bledsoe County,,5885,78.2,15.2,0.4,1.6,0.0,0.5,4.1,35.1
4,Tennessee,Blount County,,67081,78.8,7.3,0.1,0.8,0.0,0.7,12.3,25.3
5,Tennessee,Bradley County,,50573,79.0,10.4,0.0,1.1,0.1,0.2,9.1,23.3
6,Tennessee,Campbell County,,15688,81.2,8.2,0.1,0.5,0.1,1.1,8.8,30.1
7,Tennessee,Cannon County,,6255,81.4,7.5,1.0,0.5,0.0,0.0,9.6,35.4
8,Tennessee,Carroll County,,11543,79.9,8.5,0.0,2.8,0.0,2.8,5.9,26.2
9,Tennessee,Carter County,,23224,82.7,7.4,0.4,1.2,0.0,1.1,7.2,24.3
10,Tennessee,Cheatham County,,21212,74.8,9.2,0.2,0.5,0.0,1.5,13.7,33.5
11,Tennessee,Chester County,,7182,83.9,4.9,0.1,1.1,0.1,0.4,9.4,28.2
12,Tennessee,Claiborne County,,13193,76.7,10.3,0.2,2.0,0.0,0.5,10.4,27.4
13,Tennessee,Clay County,,2568,85.0,7.4,0.5,0.2,0.0,0.7,6.3,27.6
14,Tennessee,Cocke County,,15315,80.6,12.7,0.1,1.4,0.1,1.2,3.9,32.8
15,Tennessee,Coffee County,,26251,78.7,9.9,0.1,1.6,0.0,0.5,9.3,25.5
16,Tennessee,Crockett County,,6673,87.5,5.2,0.0,0.7,0.0,0.5,6.1,24.0
17,Tennessee,Cumberland County,,23083,79.3,8.9,0.3,1.3,0.2,0.7,9.3,22.9
18,Tennessee,Davidson County,,394905,66.8,8.0,1.4,1.8,0.3,1.4,20.3,24.7
19,Tennessee,Decatur County,,4480,83.4,9.5,0.0,1.3,0.0,0.3,5.5,26.8
20,Tennessee,DeKalb County,,8663,81.7,9.6,0.4,0.9,0.0,0.8,6.6,29.3
21,Tennessee,Dickson County,,26953,77.4,7.6,0.6,0.8,0.4,1.7,11.5,32.7
