fips,county,bbox
01001,"Autauga County, AL","32.3075593,32.707878,-86.9209899,-86.4111037"
01003,"Baldwin County, AL","30.1375221,31.3032945,-88.0622654,-87.3715795"
01005,"Barbour County, AL","31.618238,32.148415,-85.7483519,-85.0488248"
01007,"Bibb County, AL","32.83152,33.247269,-87.4217529,-86.8760909"
01009,"Blount County, AL","33.765354,34.2609589,-86.9634315,-86.3030549"
01011,"Bullock County, AL","31.880236,32.308136,-85.9992749,-85.4095689"
01013,"Butler County, AL","31.525208,31.964653,-86.9086989,-86.4379729"
01015,"Calhoun County, AL","33.555988,33.96883,-86.1462533,-85.5293199"
01017,"Chambers County, AL","32.728855,33.109474,-85.5934299,-85.1306867"
01019,"Cherokee County, AL","33.941814,34.526623,-85.8436279,-85.3988655"
01021,"Chilton County, AL","32.660503,33.071629,-87.0191189,-86.3734739"
01023,"Choctaw County, AL","31.6977027,32.3096938,-88.4731354,-87.9276464"
01025,"Clarke County, AL","31.1854427,31.9912556,-88.1809031,-87.5007159"
01027,"Clay County, AL","33.090458,33.499268,-86.1740719,-85.6409229"
01029,"Cleburne County, AL","33.469357,33.964363,-85.8875119,-85.3044389"
01031,"Coffee County, AL","31.182364,31.619566,-86.1943889,-85.7887269"
01033,"Colbert County, AL","34.5594985,34.9090227,-88.140128,-87.4159056"
01035,"Conecuh County, AL","31.1811607,31.753231,-87.4270319,-86.6617719"
01037,"Coosa County, AL","32.753727,33.104855,-86.5214743,-86.0070039"
01039,"Covington County, AL","30.993258,31.5286132,-86.7025072,-86.1867449"
01041,"Crenshaw County, AL","31.440084,32.052055,-86.4994279,-86.1438669"
01043,"Cullman County, AL","33.8579234,34.314236,-87.1509089,-86.4510569"
01045,"Dale County, AL","31.195324,31.620783,-85.7913279,-85.4149859"
01047,"Dallas County, AL","32.0469696,32.729473,-87.4716143,-86.8070612"
01049,"DeKalb County, AL","34.199844,34.8623385,-86.1100309,-85.5138506"
01051,"Elmore County, AL","32.4060339,32.769295,-86.4127809,-85.8531175"
01053,"Escambia County, AL","30.994487,31.261854,-87.6161639,-86.6882859"
01055,"Etowah County, AL","33.841797,34.201103,-86.3700409,-85.7371829"
01057,"Fayette County, AL","33.519917,33.9198705,-87.9520936,-87.4231949"
01059,"Franklin County, AL","34.304764,34.5818611,-88.1736319,-87.5291209"
01061,"Geneva County, AL","30.992859,31.1985,-86.1932299,-85.4851839"
01063,"Greene County, AL","32.5176996,33.153946,-88.2072417,-87.7049789"
01065,"Hale County, AL","32.4691317,33.006935,-87.8711399,-87.4202799"
01067,"Henry County, AL","31.307615,31.774685,-85.4174579,-85.0413049"
01069,"Houston County, AL","30.9970734,31.315205,-85.7142869,-84.9983633"
01071,"Jackson County, AL","34.465919,34.991098,-86.3592299,-85.5835154"
01073,"Jefferson County, AL","33.246258,33.843407,-87.3424759,-86.5165099"
01075,"Lamar County, AL","33.5242825,34.058333,-88.2746189,-87.9461046"
01077,"Lauderdale County, AL","34.7318586,35.0081121,-88.2029689,-87.2103579"
01079,"Lawrence County, AL","34.299427,34.804977,-87.5308069,-87.1047819"
01081,"Lee County, AL","32.409977,32.746384,-85.6969379,-85.0010816"
01083,"Limestone County, AL","34.5506902,34.9990092,-87.2798773,-86.7834029"
